res#record#opponent#method#event#round#time#location
loss#8 - 3#rodney wallace#decision (unanimous)#scrap live 7: bad intentions#3#5:00#winston - salem , north carolina , united states
win#8 - 2#clint hester#submission (north - south choke)#wild bill 's fight night 31#3#1:18#duluth , georgia , united states
loss#7 - 2#francisco france#submission (arm - triangle choke)#fight me mma 1: the battle begins#2#n / a#st charles , missouri , united states
win#7 - 1#josh schockman#tko (knee and punches)#strikeforce : nashville#2#n / a#nashville , tennessee , united states
win#6 - 1#bernard rutherford#submission (guillotine choke)#sin city fight club : redline grand prix round 2#2#4:31#atlanta , georgia , united states
win#5 - 1#kevin brooks#tko (cut)#clash of the kings#1#1:45#kennesaw , georgia , united states
win#4 - 1#brett chism#decision (unanimous)#wild bill 's fight night 21#3#5:00#duluth , georgia , united states
win#3 - 1#justin hall#ko (punch)#kotc : invincible#2#1:14#atlanta , georgia , united states
win#2 - 1#devon plaisance#tko (punches)#battle of rome vi#1#2:04#rome , georgia , united states
win#1 - 1#anthony mckee#tko (corner stoppage)#full throttle 4#1#3:00#duluth , georgia , united states
loss#0 - 1#tim credeur#tko (punches)#ufc : silva vs irvin#1#1:54#las vegas , nevada , united states
