rank#heat#athlete#country#time
1#8#oludamola osayomi#nigeria#11.13
2#8#debbie ferguson#bahamas#11.17
3#8#daria korczyå„ska#poland#11.22
4#9#evgeniya polyakova#russia#11.24
5#1#torri edwards#united states#11.26
6#10#kerron stewart#jamaica#11.28
7#1#jeanette kwakye#great britain#11.30
7#4#chandra sturrup#bahamas#11.30
9#10#ezinne okparaebo#norway#11.32
10#5#kim gevaert#belgium#11.33
10#7#ivet lalova#bulgaria#11.33
10#3#muna lee#united states#11.33
13#6#shelly - ann fraser#jamaica#11.35
14#7#montell douglas#great britain#11.36
15#2#christine arron#france#11.37
16#2#lauryn williams#united states#11.38
17#4#kelly ann baptiste#trinidad and tobago#11.39
17#8#yomara hinestroza#colombia#11.39
19#5#yuliya nestsiarenka#belarus#11.40
20#10#laverne jones - ferrette#virgin islands#11.41
21#4#lina grincikaite#lithuania#11.43
21#3#anita pistone#italy#11.43
23#3#guzel khubbieva#uzbekistan#11.44
24#7#virgen benavides#cuba#11.45
25#9#jade bailey#barbados#11.46
25#2#tahesia harrigan#british virgin islands#11.46
27#6#vida anim#ghana#11.47
28#3#virgil hodge#saint kitts and nevis#11.48
28#9#sherone simpson#jamaica#11.48
30#10#barbara pierre#haiti#11.52
31#4#semoy hackett#trinidad and tobago#11.53
32#10#natalya murinovich#russia#11.55
32#8#sasha springer - jones#trinidad and tobago#11.55
34#2#lucimar de moura#brazil#11.60
34#9#nataliya pohrebnyak#ukraine#11.60
36#7#franca idoko#nigeria#11.61
36#3#natalia rusakova#russia#11.61
38#6#ruddy zang milama#gabon#11.62
39#1#myriam leonie mani#cameroon#11.64
40#2#sherry fletcher#grenada#11.65
40#6#laura turner#great britain#11.65
40#5#thi huong vu#vietnam#11.65
43#1#inna eftimova#bulgaria#11.67
44#8#mae koime#papua new guinea#11.68
45#9#tezdzhan naimova#bulgaria#11.70
46#5#halimat ismaila#nigeria#11.72
47#5#chisato fukushima#japan#11.74
48#4#affouã© amandine allou#ivory coast#11.75
49#7#pia tajnikar#slovenia#11.82
49#9#jutamass thavoncharoen#thailand#11.82
51#1#wang jing#china#11.87
52#7#ahamada feta#comoros#11.88
53#4#valentina nazarova#turkmenistan#11.94
54#5#sonia williams#antigua and barbuda#12.04
55#6#nirinaharifidy ramilijaona#madagascar#12.07
56#6#timicka clarke#bahamas#12.16
57#10#charlene attard#malta#12.20
58#7#fatou tiyana#the gambia#12.25
59#2#dana abdulrazak#iraq#12.36
60#3#kin yee wan#hong kong#12.37
61#2#sadaf siddiqui#pakistan#12.41
62#7#beauty nazmun nahar#bangladesh#12.52
63#10#michaela kargbo#sierra leone#12.54
64#8#hiniksia albertine ndikert#chad#12.55
65#8#franka magali#dr congo#12.57
66#10#milena milasevic#montenegro#12.65
67#6#montserrat pujol#andorra#12.73
68#1#ani khachikyan#armenia#12.76
69#1#ivana rozhman#macedonia#12.92
70#4#titlinda sou#cambodia#12.98
71#3#gharid ghrouf#palestine#13.07
72#6#jessica aguilera#nicaragua#13.15
72#10#chandra kala thapa#nepal#13.15
74#1#peoria koshiba#palau#13.18
75#6#pauline kwalea#solomon islands#13.28
76#5#cora alicto#guam#13.31
76#3#elis lapenmal#vanuatu#13.31
78#9#waseelah saad#yemen#13.60
79#3#bounkou camara#mauritania#13.69
80#9#maria ikelap#federated states of micronesia#13.73
81#9#philaylack sackpaseuth#laos#13.86
82#1#buthaina al - yaqoubi#oman#13.90
83#2#asenate manoa#tuvalu#14.05
84#4#fathia ali bourrale#djibouti#14.29
85#5#robina muqimyar#afghanistan#14.80
