year#date#winner#result#loser#location
2000#october 15#oakland raiders#20 - 17#kansas city chiefs#arrowhead stadium
2000#november 5#oakland raiders#49 - 31#kansas city chiefs#network associates coliseum
2001#september 9#oakland raiders#27 - 24#kansas city chiefs#arrowhead stadium
2001#december 9#oakland raiders#28 - 26#kansas city chiefs#network associates coliseum
2002#october 27#kansas city chiefs#20 - 10#oakland raiders#arrowhead stadium
2002#december 28#oakland raiders#24 - 0#kansas city chiefs#network associates coliseum
2003#october 20#kansas city chiefs#17 - 10#oakland raiders#network associates coliseum
2003#november 23#kansas city chiefs#27 - 24#oakland raiders#arrowhead stadium
2004#december 5#kansas city chiefs#34 - 27#oakland raiders#network associates coliseum
2004#december 25#kansas city chiefs#31 - 30#oakland raiders#arrowhead stadium
2005#september 18#kansas city chiefs#23 - 17#oakland raiders#mcafee coliseum
2005#november 6#kansas city chiefs#27 - 23#oakland raiders#arrowhead stadium
2006#november 19#kansas city chiefs#17 - 13#oakland raiders#arrowhead stadium
2006#december 23#kansas city chiefs#20 - 9#oakland raiders#mcafee coliseum
2007#october 21#kansas city chiefs#12 - 10#oakland raiders#mcafee coliseum
2007#november 25#oakland raiders#20 - 17#kansas city chiefs#arrowhead stadium
2008#september 14#oakland raiders#23 - 8#kansas city chiefs#arrowhead stadium
2008#november 30#kansas city chiefs#20 - 13#oakland raiders#oakland - alameda county coliseum
2009#september 20#oakland raiders#13 - 10#kansas city chiefs#arrowhead stadium
2009#november 15#kansas city chiefs#16 - 10#oakland raiders#oakland - alameda county coliseum
