player#group legs won#play - off legs won#winners group legs won#winners play - off legs won#final position money won#total money won
mervyn king#100#20#23#1#2500#11900
phil taylor#71#22#42#10#5000#17550
adrian lewis#160#6#28#0#0#11400
alan tabern#87#4#0#0#0#4750
colin lloyd#114#0#0#0#0#6200
mark walsh#108#21#28#0#0#10300
james wade#41#12#24#2#2500#8550
vincent van der voort#54#8#0#0#0#3500
colin osborne#95#10#37#12#10000#21850
robert thornton#30#0#0#0#0#1500
andy hamilton#26#0#0#0#0#1300
dennis priestley#24#0#0#0#0#1200
john part#22#0#0#0#0#1100
ronnie baxter#21#0#0#0#0#1050
mark dudbridge#41#3#0#0#0#2350
wayne mardle#36#12#20#0#0#5000
denis ovens#64#0#0#0#0#3200
peter manley#27#0#0#0#0#1350
kevin painter#61#10#0#0#0#4050
