year#winner#location#entrants#winners prize#total prize pool
2013#nigel richards (5)#las vegas#521#usd 10000#usd 43725
2012#nigel richards (4)#orlando#339#usd 10000#usd 36150
2011#nigel richards (3)#dallas#329#usd 10000#usd 42075
2010#nigel richards (2)#dallas#408#usd 10000#usd 42075
2009#dave wiegand (2)#dayton#486#usd 10000#usd 43175
2008#nigel richards (1)#orlando#662#usd 25000#usd 85385
2006#jim kramer#phoenix#625#usd 25000#usd 85385
2005#dave wiegand (1)#reno#682#usd 25000#usd 85415
2004#trey wright#new orleans#837#usd 25000#usd 92805
2002#joel sherman#san diego#696#usd 25000#usd 89290
2000#joe edley (3)#providence#598#usd 25000#usd 89290
1998#brian cappelletto#chicago#535#usd 25000#usd 82200
1996#adam logan#dallas#412#usd 25000#usd 75485
1994#david gibson#los angeles#294#usd 15000#usd 50585
1992#joe edley (2)#atlanta#315#usd 10000#usd 35910
1990#robert felt#washington#282#usd 10000#usd 37400
1989#peter morris#new york#221#usd 5000#usd 24425
1988#robert watson#reno#315#usd 5000#usd 23100
1987#rita norr#las vegas#327#usd 5000#usd 16850
1985#ron tiekert#boston#302#usd 10000#usd 52370
1983#joel wapnick#chicago#32#usd 5000#usd 13600
1980#joe edley (1)#santa monica#32#usd 5000#usd 10100
