time#athlete#nationality#location of race#date
20.6y#andy stanfield#united states#philadelphia , united states#may 26 , 1951
20.6#andy stanfield#united states#los angeles , united states#june 28 , 1952
20.6#thane baker#united states#bakersfield , united states#june 23 , 1956
20.6#bobby morrow#united states#melbourne , australia#november 27 , 1956
20.6#manfred germar#west germany#wuppertal , germany#october 1 , 1958
20.6y#ray norton#united states#berkeley , united states#march 19 , 1960
20.6#ray norton#united states#philadelphia , united states#april 30 , 1960
20.5y#peter radford#united kingdom#wolverhampton , united kingdom#may 28 , 1960
20.5#stone johnson#united states#stanford , united states#july 2 , 1960
20.5#ray norton#united states#stanford , united states#july 2 , 1960
20.5#livio berruti#italy#rome , italy#september 3 , 1960
20.5y#paul drayton#united states#walnut , united states#june 23 , 1962
20.3y#henry carr#united states#tempe , united states#march 23 , 1963
20.2y#henry carr#united states#tempe , united states#april 4 , 1964
20.0y#tommie smith#united states#sacramento , united states#june 11 , 1968
19.8a#tommie smith#united states#mexico city , mexico#october 16 , 1968
19.8a#donald quarrie#jamaica#cali , colombia#august 3 , 1971
19.8 +#donald quarrie#jamaica#eugene , oregon , united states#june 7 , 1975
