season#match#result#league#date
1929 - 30#roma - napoli#2 - 2#serie a#10 november 1929
1929 - 30#napoli - roma#1 - 1#serie a#13 april 1930
1930 - 31#roma - napoli#3 - 1#serie a#19 october 1930
1930 - 31#napoli - roma#3 - 0#serie a#8 march 1931
1931 - 32#roma - napoli#1 - 0#serie a#29 november 1931
1931 - 32#napoli - roma#1 - 0#serie a#24 april 1932
1932 - 33#napoli - roma#1 - 2#serie a#18 december 1932
1932 - 33#roma - napoli#1 - 1#serie a#25 may 1933
1933 - 34#napoli - roma#1 - 2#serie a#19 november 1933
1933 - 34#roma - napoli#1 - 2#serie a#8 april 1934
1934 - 35#napoli - roma#3 - 2#serie a#7 october 1934
1934 - 35#roma - napoli#4 - 0#serie a#3 march 1935
1935 - 36#roma - napoli#1 - 0#serie a#6 october 1935
1935 - 36#napoli - roma#1 - 2#serie a#9 february 1936
1936 - 37#napoli - roma#0 - 0#serie a#13 september 1936
1936 - 37#roma - napoli#1 - 0#serie a#17 january 1937
1937 - 38#roma - napoli#2 - 1#serie a#26 september 1937
1937 - 38#napoli - roma#2 - 2#serie a#30 january 1938
1938 - 39#roma - napoli#2 - 2#serie a#13 november 1938
1938 - 39#napoli - roma#1 - 0#serie a#19 march 1939
1939 - 40#napoli - roma#0 - 1#serie a#8 october 1939
1939 - 40#roma - napoli#1 - 0#serie a#11 february 1940
1940 - 41#napoli - roma#2 - 1#serie a#22 december 1940
1940 - 41#roma - napoli#2 - 2#serie a#6 april 1941
1941 - 42#roma - napoli#5 - 1#serie a#26 october 1941
1941 - 42#napoli - roma#1 - 1#serie a#15 february 1942
1945 - 46#napoli - roma#2 - 1#serie a#26 may 1946
1945 - 46#roma - napoli#2 - 0#serie a#14 july 1946
1946 - 47#roma - napoli#0 - 0#serie a#19 january 1947
1946 - 47#napoli - roma#0 - 3#serie a#22 june 1947
1947 - 48#napoli - roma#1 - 2#serie a#21 december 1947
1947 - 48#roma - napoli#1 - 0#serie a#9 may 1948
1950 - 51#roma - napoli#0 - 0#serie a#19 november 1950
1950 - 51#napoli - roma#0 - 0#serie a#1 april 1951
1952 - 53#roma - napoli#5 - 2#serie a#4 january 1953
1952 - 53#napoli - roma#0 - 0#serie a#10 may 1953
1953 - 54#roma - napoli#0 - 0#serie a#27 december 1953
1953 - 54#napoli - roma#1 - 0#serie a#9 may 1954
1954 - 55#roma - napoli#0 - 0#serie a#24 october 1954
1954 - 55#napoli - roma#2 - 0#serie a#13 march 1955
1955 - 56#napoli - roma#1 - 1#serie a#23 october 1955
1955 - 56#roma - napoli#2 - 1#serie a#18 march 1956
1956 - 57#roma - napoli#1 - 3#serie a#30 december 1956
1956 - 57#napoli - roma#1 - 2#serie a#13 march 1957
1957 - 58#napoli - roma#0 - 0#serie a#17 november 1957
1957 - 58#roma - napoli#0 - 2#serie a#13 april 1958
1958 - 59#napoli - roma#3 - 0#serie a#16 november 1958
1958 - 59#roma - napoli#8 - 0#serie a#29 march 1959
1959 - 60#roma - napoli#3 - 0#serie a#24 january 1960
1959 - 60#napoli - roma#1 - 0#serie a#29 may 1960
1960 - 61#napoli - roma#3 - 2#serie a#23 october 1960
1960 - 61#roma - napoli#2 - 0#serie a#5 march 1961
1962 - 63#roma - napoli#3 - 0#serie a#16 september 1962
1962 - 63#napoli - roma#3 - 3#serie a#20 january 1963
1965 - 66#roma - napoli#0 - 0#serie a#24 october 1965
1965 - 66#napoli - roma#1 - 0#serie a#13 march 1966
1966 - 67#roma - napoli#0 - 2#serie a#2 october 1966
1966 - 67#napoli - roma#2 - 0#serie a#12 february 1967
1967 - 68#roma - napoli#2 - 1#serie a#1 october 1967
1967 - 68#napoli - roma#2 - 0#serie a#28 january 1968
1968 - 69#napoli - roma#0 - 0#serie a#27 october 1968
1968 - 69#roma - napoli#0 - 0#serie a#23 february 1969
1969 - 70#napoli - roma#0 - 0#serie a#12 october 1969
1969 - 70#roma - napoli#2 - 1#serie a#8 february 1970
1970 - 71#roma - napoli#2 - 2#serie a#3 january 1971
1970 - 71#napoli - roma#1 - 2#serie a#25 april 1971
