position#played#points#wins#draws#losses#goals for#goals against#goal difference
1#30#42#18#6#6#64#34#+ 30
2#30#36#16#4#10#60#36#+ 24
3#30#36#14#8#8#54#39#+ 15
4#30#35#15#5#10#60#54#+ 6
5#30#35#15#5#10#55#44#+ 11
6#30#33#13#7#10#47#43#+ 4
7#30#32#14#4#12#49#44#+ 5
8#30#29#12#5#13#64#57#+ 7
9#30#29#11#7#12#48#49#- 1
10#30#27#11#5#14#38#49#- 11
11#30#27#10#7#13#50#44#+ 6
12#30#26#11#4#15#52#66#- 14
13#30#26#12#6#16#45#64#- 19
14#30#25#12#1#17#42#66#- 24
15#30#21#7#7#16#47#76#- 29
16#30#21#7#7#16#46#56#- 10
