name#years#goals#apps#ratio
telmo zarra#1940 - 1955#251#278#0.91
hugo sánchez#1981 - 1994#234#347#0.67
raúl#1994 - 2010#228#550#0.41
alfredo di stéfano#1953 - 1966#227#329#0.69
césar rodríguez#1939 - 1955#223#353#0.63
lionel messi#2004 -#223#256#0.86
quini#1970 - 1987#219#448#0.49
pahiño#1943 - 1956#210#278#0.76
edmundo suárez#1939 - 1950#195#231#0.84
carlos santillana#1970 - 1988#186#461#0.40
juan arza#1943 - 1959#182#349#0.52
guillermo gorostiza#1929 - 1945#178#256#0.70
david villa#2003 -#177#328#0.54
samuel eto'o#1998 - 2009#162#280#0.58
luis aragonés#1960 - 1974#160#360#0.44
cristiano ronaldo#2009 -#159#147#1.08
ferenc puskás#1958 - 1966#156#180#0.87
julio salinas#1982 - 2000#152#417#0.36
adrián escudero#1945 - 1958#150#287#0.52
daniel ruiz#1974 - 1986#147#303#0.49
raúl tamudo#1997 -#146#407#0.36
silvestre igoa#1941 - 1956#141#284#0.50
manuel badenes#1946 - 1959#139#201#0.69
juan araújo#1945 - 1956#139#207#0.67
josé mari bakero#1980 - 1997#139#483#0.29
lászló kubala#1951 - 1965#138#215#0.64
josé luis panizo#1939 - 1955#136#325#0.41
jesús maría satrústegui#1973 - 1986#133#297#0.45
joaquín murillo#1952 - 1964#132#227#0.58
ismael urzaiz#1991 - 2007#131#445#0.29
