date from#date to#pos#name#moving to
19 july 2008#2 february 2009#df#elliot omozusi#norwich city
1 august 2008#8 january 2009#mf#lee cook#queens park rangers
8 august 2008#1 january 2009#df#tj moncur#bradford city
9 august 2008#30 june 2009#mf#hameur bouazza#charlton athletic
22 august 2008#30 june 2009#fw#eddie johnson#cardiff city
28 august 2008#30 june 2009#df#moritz volz#ipswich town
31 august 2008#3 march 2009#fw#collins john#nec nijmegen
11 september 2008#13 december 2008#df#gabriel zakuani#peterborough
21 november 2008#31 december 2009#mf#robert milsom#southend united
8 january 2009#30 june 2009#mf#hameur bouazza#birmingham city
14 january 2009#30 june 2009#mf#seol ki - hyeon#al - hilal
2 february 2009#30 june 2009#df#leon andreasen#hannover 96
2 february 2009#30 june 2009#df#adrian leijer#norwich city
2 february 2009#30 june 2009#mf#andranik#barnsley
2 march 2009#30 june 2009#gk#david stockdale#leicester city
26 march 2009#30 june 2009#df#adam watts#northampton town
2 april 2009#16 august 2009#mf#wayne brown#turun palloseura
