position#club#games played#wins#draws#loses#goals scored#goals conceded#points
1#rodiklis kaunas#22#16#3#3#76#20#51
2#alytis alytus#22#14#5#3#61#14#47
3#nevėžis kėdainiai#22#13#6#3#44#17#45
4#kruoja pakruojis#22#13#4#5#45#23#43
5#lietava jonava#22#11#4#7#41#25#37
6#banga gargždai#22#9#7#6#42#12#34
7#lkka ir teledema kaunas#22#10#3#9#76#34#33
8#kauno jėgeriai#22#7#6#9#34#30#27
9#vilkmergė ukmergė#22#5#3#14#31#60#18
10#glestum klaipėda#22#4#6#12#23#59#18
11#tauras ir erra tauragė#22#3#2#17#17#126#11
12#fk anykščiai#22#1#3#18#14#84#6
