elector#nationality#faction#elevated#elevator
nicolò albertini , op#prato#italian#1303 , december 18#benedict xi
bérenger frédol , seniore#french#french#1305 , december 15#clement v
arnaud de falguières#french#gascon#1310 , december 19#clement v
guillaume de mandagot , crsa#french#french#1312 , december 23#clement v
arnaud d'aux#french#gascon#1312 , december 23#clement v
jacques d'euse#french#french#1312 , december 23#clement v
nicolas de fréauville , op#french#french#1305 , december 15#clement v
arnaud nouvel , ocist#french#gascon#1310 , december 19#clement v
bérenguer frédol , iuniore#french#french#1312 , december 23#clement v
michel du bec - crespin#french#french#1312 , december 23#clement v
guillaume teste#french#gascon#1312 , december 23#clement v
guillaume pierre godin , op#french#gascon#1312 , december 23#clement v
vital du four , ofm#french#gascon#1312 , december 23#clement v
raymond , osb#french#gascon#1312 , december 23#clement v
giacomo colonna#roman#italian#1278 , march 12#nicholas iii
napoleone orsini#roman#italian#1288 , may 16#nicholas iv
pietro colonna#roman#italian#1288 , may 16#nicholas iv
guglielmo de longhi#bergamo#italian#1294 , september 18#celestine v
giacomo gaetani stefaneschi#rome#italian#1295 , december 17#boniface viii
francesco caetani#rome#italian#1295 , december 17#boniface viii
luc fieschi#genoese#italian#1300 , march 2#boniface viii
arnaud de pellegrue#french#gascon#1305 , december 15#clement v
raymond guillaume des forges#french#gascon#1310 , december 19#clement v
bernard de garves#french#gascon#1310 , december 19#clement v
