incident no#date#place#killed#injured
1#2 january#west midnapore , west bengal#0#0
2#2 january#malkangiri , odisha#0#0
3#11 january#east champaran , bihar#0#0
4#18 january#jehanabad , bihar#0#0
5#18 january#lohardaga , jharkhand#0#0
6#20 january#malkangiri , odisha#0#0
7#21 january#palamu , jharkhand#0#0
8#24 january#gadchiroli , maharashtra#0#0
9#25 january#sundargarh , odisha#0#0
10#1 february#bankura , west bengal#2#10
11#15 february#west midnapore , west bengal#25#0
12#17 february#jamui , bihar#12#0
13#23 march#gaya , bihar#2#0
14#23 march#sitamarhi , bihar#0#6
15#23 march#nawada , bihar#0#2
16#23 march#malkangiri , odisha#0#0
17#24 march#saran , bihar#0#0
18#25 march#west midnapore , west bengal#0#0
19#26 march#rohtas , bihar#0#0
20#29 march#kaimur , bihar#0#0
21#2 april#gaya , bihar#0#0
22#6 april#dantewada , chhattisgarh#75#0
23#7 april#darbhanga , bihar#0#0
24#8 april#rohtas , bihar#2#0
25#20 april#dantewada , chhattisgarh#0#0
26#24 april#munger , bihar#0#0
27#1 may#koraput , odisha#0#0
28#7 may#malkangiri , odisha#0#0
29#18 may#aurangabad , bihar#0#0
30#20 may#west champaran , bihar#0#0
31#21 may#sheohar , bihar#5#1
32#22 may#patna , bihar#2#0
33#6 june#bijapur , chhattisgarh#0#0
34#14 june#gaya , bihar#0#0
35#14 june#rohtas , bihar#0#0
36#29 june#narayanpur , chhattisgarh#27#0
37#1 july#east champaran , bihar#0#0
38#6 july#malkangiri , odisha#0#0
39#7 july#keonjhar , odisha#0#0
40#8 july#west midnapore , west bengal#0#0
41#8 july#dantewada , chhattisgarh#3#2
42#10 july#malkangiri , odisha#0#0
43#11 july#kaimur , bihar#0#0
44#11 july#dantewada , chhattisgarh#0#0
45#14 july#mayurbhanj , odisha#1#0
46#17 july#malkangiri , odisha#1#0
47#19 july#dantewada , chhattisgarh#0#0
48#20 july#purulia , west bengal#2#0
49#6 august#sundergarh , odisha#0#0
50#13 august#west midnapore , west bengal#0#0
51#15 august#dantewada , chhattisgarh#0#0
52#28 august#saran , bihar#0#0
53#29 august#kanker , chhattisgarh#5#1
54#29 august#lakhisarai , bihar#7#7
55#9 september#gaya , bihar#0#0
56#9 september#malkangiri , odisha#0#0
57#25â€“26 september#west linghbhum , jharkhand#6#0
58#26 september#visakhapatnam , andhra pradesh#2#0
59#1 october#rohtas , bihar#0#0
60#3 october#purulia , west bengal#3#0
61#4 october#malkangiri , odisha#0#0
62#6 october#sonebhadra , uttar pradesh#0#0
63#9 october#mahasamund , chhattisgarh#8#0
64#12 october#bijapur , chhattisgarh#2#0
65#14 october#malkangiri , odisha#0#0
66#20 october#gumla , jharkhand#2#0
67#24 october#saran , bihar#0#0
68#31 october#hazaribagh , jharkhand#0#0
69#8 november#muzaffarpur , bihar#0#0
70#9 november#gaya , bihar#0#0
71#9 november#gaya , bihar#0#0
72#14 november#rohtas , bihar#1#0
73#19 november#visakhapatnam , andhra pradesh#0#0
74#25 november#aurangabad , bihar#0#0
75#2 december#jehanabad , bihar#0#0
76#8â€“9 december#koraput , odisha#1#0
77#9 december#sundargarh , odisha#2#0
78#17 december#visakhapatnam , andhra pradesh#4#0
79#21 december#gajapati , odisha#0#0
80#27 december#bargarh , odisha#2#0
81#29 december#gadchiroli , maharashtra#0#0
total#total#total#204#29
