seed#rank#player#points#points defending#points won#new points#status
1#1#roger federer#10030#2000#360#8390#quarterfinals lost to robin söderling
3#3#novak djokovic#6405#90#360#6675#quarterfinals lost to jürgen melzer
4#4#andy murray#5565#360#180#5385#4th round lost to tomáš berdych
5#7#robin söderling#4755#1200#1200#4755#runner - up , lost in final to rafael nadal
6#8#andy roddick#4600#180#90#4510#3rd round lost to teymuraz gabashvili
7#9#fernando verdasco#3645#180#180#3645#4th round lost to nicolás almagro
8#10#jo - wilfried tsonga#3185#180#180#3185#4th round lost to mikhail youzhny
9#11#david ferrer#3010#90#90#3010#3rd round lost to jürgen melzer
10#12#marin čilić#2945#180#180#2945#4th round lost to robin söderling
11#13#mikhail youzhny#2375#45#360#2690#quarterfinals lost to tomáš berdych
12#14#fernando gonzález#2385#720#45#1710#2nd round lost to alexandr dolgopolov
13#15#gaël monfils#2220#360#45#1905#2nd round lost to fabio fognini
14#16#ivan ljubičić#2140#10#90#2220#3rd round lost to thomaz bellucci
15#17#tomáš berdych#2115#10#720#2825#semifinals lost to robin söderling
16#18#juan carlos ferrero#2050#45#90#2095#3rd round lost to robby ginepri
17#19#john isner#1880#0 (45)#90#1925#3rd round lost to tomáš berdych
18#21#sam querrey#1675#10#10#1675#1st round lost to robby ginepri
19#22#nicolás almagro#1690#90#360#1960#quarterfinals lost to rafael nadal
20#23#stanislas wawrinka#1600#90#180#1690#4th round lost to roger federer
21#25#tommy robredo#1505#360#10#1155#1st round lost to viktor troicki
22#26#jürgen melzer#1495#90#720#2125#semifinals lost rafael nadal
23#27#ernests gulbis#1494#45#10#1459#1st round lost to julien benneteau
24#28#thomaz bellucci#1482#10#180#1652#4th round lost to rafael nadal
25#29#marcos baghdatis#1465#10#90#1545#3rd round lost to andy murray
26#30#juan mónaco#1510#45#10#1475#1st round lost to grega žemlja
27#31#feliciano lópez#1420#45#10#1385#1st round lost to julian reister
28#33#lleyton hewitt#1350#90#90#1350#3rd round lost to rafael nadal
29#34#albert montañés#1325#10#90#1405#3rd round lost to robin söderling
30#35#philipp kohlschreiber#1320#180#90#1230#3rd round lost to fernando verdasco
31#37#victor hănescu#1160#180#90#1070#3rd round lost to novak djokovic
