season#tier#division#position#top scorer
1890 - 91#i#football tournament#4th#n / a
1891 - 92#i#football tournament#4th#n / a
1892 - 93#i#football tournament#3rd#n / a
1893 - 94#i#football tournament#3rd#n / a
1894 - 95#i#football tournament#3rd#n / a
1895 - 96#did not participate#did not participate#did not participate#did not participate
1896 - 97#i#football tournament#5th#n / a
1897 - 98#i#football tournament#4th#n / a
1898 - 99#i#football tournament#2nd - 4th#n / a
1899 - 00#i#football tournament#3rd#n / a
