name#height#weight#spike#2008 club
aleksandr korneev#m#-#cm (in)#zenit kazan
semen poltavskiy#m#-#cm (in)#dynamo moscow
aleksandr kosarev#m#-#cm (in)#lokomotiv - belogorie
sergey grankin#m#-#cm (in)#dynamo moscow
sergey tetyukhin#m#-#cm (in)#lokomotiv - belogorie
vadim khamuttskikh#m#-#cm (in)#lokomotiv - belogorie
yury berezhko#m#-#cm (in)#dynamo moscow
aleksey ostapenko#m#-#cm (in)#dynamo moscow
aleksandr volkov#m#-#cm (in)#dynamo moscow
aleksey verbov#m#-#cm (in)#iskra odintsovo
maxim mikhaylov#m#-#cm (in)#yaroslavich
aleksey kuleshov#m#-#cm (in)#iskra odintsovo
