#average population (x 1000)#live births#deaths#natural change#crude birth rate (per 1000)#crude death rate (per 1000)#natural change (per 1000)
1970#108#3 616#464#3 152#33.4#4.3#29.1
1971#118#3 921#491#3 430#33.2#4.2#29.0
1972#129#4 038#563#3 475#31.2#4.4#26.8
1973#141#4 367#660#3 707#31.0#4.7#26.3
1974#152#4 562#688#3 874#30.0#4.5#25.5
1975#163#4 559#600#3 959#28.0#3.7#24.3
1976#172#4 893#609#4 284#28.4#3.5#24.9
1977#181#5 313#686#4 627#29.4#3.8#25.6
1978#190#5 977#645#5 332#31.4#3.4#28.0
1979#203#6 057#709#5 348#29.8#3.5#26.3
1980#222#6 750#662#6 088#30.5#3.0#27.5
1981#246#7 192#725#6 467#29.3#3.0#26.3
1982#275#8 032#789#7 243#29.2#2.9#26.3
1983#307#8 261#803#7 458#26.9#2.6#24.3
1984#338#8 613#642#7 971#25.5#1.9#23.6
1985#368#9 225#794#8 431#25.1#2.2#22.9
1986#395#9 942#784#9 158#25.2#2.0#23.2
1987#420#9 919#788#9 131#23.6#1.9#21.7
1988#442#10 842#861#9 981#24.5#1.9#22.6
1989#460#10 908#847#10 061#23.7#1.8#21.9
1990#474#11 022#871#10 151#23.3#1.8#21.5
1991#483#9 756#883#8 873#20.2#1.8#18.4
1992#488#10 459#944#9 515#21.4#1.9#19.5
1993#491#10 822#913#9 909#22.0#1.9#20.1
1994#495#10 561#964#9 597#21.3#1.9#19.4
1995#501#10 371#1 000#9 371#20.7#2.0#18.7
1996#512#10 317#1 015#9 302#20.1#2.0#18.1
1997#529#10 447#1 060#9 387#19.8#2.0#17.8
1998#549#10 781#1 157#9 624#19.6#2.1#17.5
1999#570#10 846#1 148#9 698#19.0#2.0#17.0
2000#591#11 438#1 173#10 265#19.4#2.0#17.4
2001#608#12 355#1 210#11 145#20.3#2.0#18.3
2002#624#12 388#1 220#11 168#19.8#2.0#17.8
2003#654#13 026#1 311#11 715#19.9#2.0#17.9
2004#715#13 589#1 341#12 248#19.0#1.9#17.1
2005#821#13 514#1 545#11 969#16.5#1.9#14.6
2006#978#14 204#1 750#12 454#14.5#1.8#12.7
2007#1 178#15 695#1 776#13 919#13.3#1.5#11.8
2008#1 448#17 480#1 942#15 538#12.1#1.3#10.8
2009#1 639#18 351#2 008#16 343#11.2#1.2#10.0
2010#1 715#19 504#1 970#17 534#11.4#1.1#10.3
