season#tier#division#pos#postseason#cup competitions
1996 - 97#4#1ª división#1#promoted#-
1997 - 98#3#liga eba#8#relegation playoffs#-
1998 - 99#3#liga eba#2#champion#-
1999 - 00#3#liga eba#1#promoted runner - up#copa eba semifinalist
2000 - 01#3#leb 2#4#semifinalist#copa leb 2 semifinalist
2001 - 02#3#leb 2#4#semifinalist#-
2002 - 03#3#leb 2#5#quarterfinalist#-
2003 - 04#2#leb#7#quarterfinalist#copa príncipe semifinalist
2004 - 05#2#leb#16#relegation playoffs#-
2005 - 06#2#leb#10#-#-
2006 - 07#2#leb#11#-#-
2007 - 08#2#leb oro#17#relegated#-
2008 - 09#2#leb oro#14#-#-
2009 - 10#2#leb oro#10#-#-
2010 - 11#2#leb oro#10#-#-
2011 - 12#2#leb oro#9#quarterfinalist#-
