position#height (cm)#weight (kg)#birthplace#2009 - 10 team
g#175#78#boisbriand , quebec#mcgill martlets
g#175#70#chteauguay , quebec#montreal stars
g#172#66#edmonton , alberta#grant macewan griffins
d#170#63#sudbury , ontario#calgary oval x - treme
d#162#60#spruce grove , alberta#calgary oval x - treme
d#170#70#hagersville , ontario#burlington barracudas
d#162#78#kennedy , saskatchewan#calgary oval x - treme
d#175#74#regina , saskatchewan#edmonton chimos
d#167#61#montreal , quebec#mcgill martlets
f#167#66#ruthven , ontario#mercyhurst lakers
f#182#78#toronto , ontario#brampton thunder
f#175#69#winnipeg , manitoba#mississauga chiefs
f#165#63#kingston , ontario#brampton thunder
f#170#74#thunder bay , ontario#minnesota - duluth bulldogs
f#170#61#sudbury , ontario#cornell big red
f#172#62#uranium city , saskatchewan#calgary oval x - treme
f#180#78#montreal , quebec#montreal stars
f#167#75#toronto , ontario#calgary oval x - treme
f#167#73#beauceville , quebec#dawson blues
f#167#63#sherbrooke , quebec#harvard crimson
f#177#77#shaunavon , saskatchewan#eskilstuna linden
