game#date#opponent#result#record
1#sept 14#chicago bears#loss#0 - 1
2#sept 20#dallas cowboys#loss#0 - 2
-#sept 27#miami dolphins#canceled#0 - 2
3#oct 5#san francisco 49ers#loss#0 - 3
4#oct 11#washington redskins#loss#0 - 4
5#oct 18#buffalo bills#loss (ot)#0 - 5
6#oct 25#st louis cardinals#win#1 - 5
7#nov 2#dallas cowboys#loss#1 - 6
8#nov 8#new england patriots#win#2 - 6
9#nov 15#philadelphia eagles#win#3 - 6
10#nov 22#new orleans saints#loss#3 - 7
11#nov 29#washington redskins#loss#3 - 8
12#dec 6#philadelphia eagles#win (ot)#4 - 8
13#dec 13#st louis cardinals#loss#4 - 9
14#dec 19#green bay packers#win#5 - 9
15#dec 27#new york jets#win#6 - 9
