rank#name#s - league#singapore cup#singapore league cup#afc cup#total
1#aleksandar đurić#12 (13)#0 (1)#0 (0)#5 (6)#17 (20)
2#ashrin shariff#5 (9)#0 (1)#0 (0)#1 (6)#6 (16)
2#therdsak chaiman#4 (13)#0 (1)#0 (0)#2 (5)#6 (19)
3#norikazu murakami#4 (13)#1 (1)#0 (0)#0 (1)#5 (15)
3#mustaqim manzur#3 (11)#1 (1)#0 (0)#1 (6)#5 (18)
4#jamil ali#2 (12)#0 (1)#0 (0)#2 (5)#4 (18)
5#masahiro fukasawa#3 (13)#0 (1)#0 (0)#0 (6)#3 (20)
6#kenji arai#2 (13)#0 (0)#0 (0)#0 (6)#2 (19)
7#shaiful esah#1 (12)#0 (1)#0 (0)#0 (4)#1 (17)
7#john wilkinson#0 (12)#0 (1)#0 (0)#1 (5)#1 (18)
