poll source#date (s) administered#sample size#margin of error#jerry brown (d)#meg whitman (r)
rasmussen reports#january 14 , 2009#500#±4.5%#40%#38%
research 2000#august 9 , 2009#600#±4.0%#42%#36%
rasmussen reports#september 24 , 2009#500#±4.5%#44%#35%
the field poll#sept. 15 - oct. 5 , 2009#1005#±3.2%#50%#29%
rasmussen reports#november 17 , 2009#500#±4.5%#41%#41%
public policy institute of california#december 16 , 2009#2004#±2.0%#43%#37%
the field poll#january 5 - 17 , 2010#958#±3.3%#46%#36%
rasmussen reports#january 19 , 2010#500#±4.5%#43%#39%
public policy institute of california#january 27 , 2010#2001#±2.0%#41%#36%
rasmussen reports#february 15 , 2010#500#±4.5%#43%#43%
research 2000#march 10 , 2010#600#±4.0%#45%#41%
rasmussen reports#march 15 , 2010#500#±4.5%#40%#40%
the field poll#march 17 , 2010#748#±3.7%#43%#46%
public policy institute of california#march 24 , 2010#2002#±2.0%#39%#44%
usc / los angeles times#march 23 - 30 , 2010#--#--#41%#44%
rasmussen reports#april 19 , 2010#500#±4.5%#44%#38%
public policy institute of california#may 9 - 16 , 2010#2003#±2.0%#42%#37%
research 2000#may 17 - 19 , 2010#600#±4.0%#46%#42%
public policy polling#may 21 - 23 , 2010#921#±3.2%#48%#36%
rasmussen reports#may 24 , 2010#500#±4.5%#45%#41%
usc / los angeles times#may 19 - 26 , 2010#--#--#44%#38%
rasmussen reports#june 9 , 2010#500#±4.5%#45%#44%
reuters#june 30 , 2010#600#±4.5%#45%#39%
the field poll#june 22 - july 5 , 2010#1005#±3.2%#44%#43%
survey usa#july 8 - 11 , 2010#614#±4.0%#39%#46%
rasmussen reports#july 12 , 2010#500#±4.5%#46%#47%
public policy polling#july 23 - 25 , 2010#614#±3.95%#46%#40%
rasmussen reports#august 3 , 2010#750#±4.0%#43%#41%
survey usa#august 9 - 11 , 2010#602#± 4.1%#43%#44%
rasmussen reports#august 24 , 2010#750#±4.0%#40%#48%
survey usa#august 31 - september 1 , 2010#569#±4.2%#40%#47%
rasmussen reports#september 6 , 2010#750#±4.0%#45%#48%
cnn#september 2 - 7 , 2010#866#± 3.5%#46%#48%
fox news#september 11 , 2010#1000#± 3%#43%#49%
public policy polling#september 14 - 16 , 2010#630#±3.9%#47%#42%
field poll#september 14 - 21 , 2010#599#±4.1%#41%#41%
fox news / pulse opinion research#september 18 , 2010#1000#±3.0%#45%#45%
rasmussen reports#september 20 , 2010#750#±4.0%#47%#46%
survey usa#september 19 - 21 , 2010#610#±4.0%#46%#43%
the los angeles times / usc#september 15 - 22 , 2010#1500#±3.3%#49%#44%
ppic#september 19 - 26 , 2010#1104#±3%#37%#38%
cnn / time / opinion research corporation#september 24 - 28 , 2010#786#±3.5%#52%#43%
rasmussen reports#october 3 , 2010#750#±4.0%#49%#44%
reuters / ipsos#october 4 , 2010#600#±4%#50%#43%
angus reid public opinion#october 6 , 2010#501#±4.5%#53%#41%
rasmussen reports#october 13 , 2010#750#±4.0%#50%#44%
los angeles times / usc#october 13 - 20 , 2010#1501#±2.5%#52%#39%
reuters (report)#october 12 - 14 , 2010#601#± 4.0%#48%#44%
fox news / por - rasmussen#october 16 , 2010#1000#±3%#48%#43%
ppic#october 10 - 17 , 2010#1067#±3.1%#44%#36%
surveyusa#october 15 - 18 , 2010#621#±4%#47%#40%
rasmussen reports#october 21 , 2010#750#±4%#48%#42%
fox news / por - rasmussen#october 23 , 2010#1000#±3%#50%#41%
suffolk university#october 21 - 24 , 2010#600#±4%#50%#42%
cnn / time#october 20 - 26 , 2010#888#±3.5%#51%#44%
rasmussen reports#october 27 , 2010#750#±4%#49%#45%
angus reid public opinion#october 28 - 29 , 2010#486#±4.5%#49%#44%
survey usa#october 26 - 31 , 2010#587#± 4%#48%#37%
public policy polling reports)#october 29 - 31 , 2010#882#± 3.3%#51%#46%
