event#time#nationality#date#meet#location
50 m freestyle#22.11#australia#28 august 2013#2013 championships#dubai , united arab emirates
100 m freestyle#48.97#united states#31 august 2013#2013 championships#dubai , united arab emirates
200 m freestyle#1:47.55#australia#27 august 2013#2013 championships#dubai , united arab emirates
400 m freestyle#3:47.12#australia#26 august 2013#2013 championships#dubai , united arab emirates
800 m freestyle#7:45.67#australia#28 august 2013#2013 championships#dubai , united arab emirates
1500 m freestyle#14:56.60#australia#31 august 2013#2013 championships#dubai , united arab emirates
50 m backstroke#25.44#russia#29 august 2013#2013 championships#dubai , united arab emirates
100 m backstroke#54.87#greece#27 august 2013#2013 championships#dubai , united arab emirates
200 m backstroke#1:57.92#italy#31 august 2013#2013 championships#dubai , united arab emirates
50 m breaststroke#27.74#slovenia#30 august 2013#2013 championships#dubai , united arab emirates
100 m breaststroke#1:00.88#russia#27 august 2013#2013 championships#dubai , united arab emirates
200 m breaststroke#2:10.75#russia#29 august 2013#2013 championships#dubai , united arab emirates
50 m butterfly#23.61#new zealand#11 july 2008#2008 championships#monterrey , mexico
100 m butterfly#52.52#new zealand#9 july 2008#2008 championships#monterrey , mexico
200 m butterfly#1:56.42#united states#31 august 2013#2013 championships#dubai , united arab emirates
200 m individual medley#1:59.44#united states#27 august 2013#2013 championships#dubai , united arab emirates
400 m individual medley#4:14.97#united states#30 august 2013#2013 championships#dubai , united arab emirates
4100 m freestyle relay#3:16.96#australia#26 august 2013#2013 championships#dubai , united arab emirates
4200 m freestyle relay#7:15.36#great britain#29 august 2013#2013 championships#dubai , united arab emirates
4100 m medley relay#3:38.13#japan#31 august 2013#2013 championships#dubai , united arab emirates
