country#currency#1 euro =#1 usd =#central bank
argentina#argentine peso (ars)#5.72079#4.34950#central bank of argentina
bolivia#bolivian boliviano (bob)#9.02081#6.86000#central bank of bolivia
brazil#brazilian real (brl)#2.25592#1.71577#central bank of brazil
chile#chilean peso (clp)#635.134#483.050#central bank of chile
colombia#colombian peso (cop)#2353.40#1790.00#bank of the republic
ecuador#us dollar (usd)#1.46611#1#federal reserve
guyana#guyanese dollar (gyd)#264.192#200.950#bank of guyana
paraguay#paraguayan guaranã­ (pyg)#4500.00#5916.27#central bank of paraguay
peru#peruvian nuevo sol (pen)#3.53004#2.68500#central reserve bank of peru
suriname#surinamese dollar (srd)#4.27296#3.25000#central bank of suriname
uruguay#uruguayan peso (uyu)#25.3797#19.3000#central bank of uruguay
