year#men 's singles#women 's singles#men 's doubles#women 's doubles#mixed doubles
1992#andrey antropov#natalia ivanova#vyacheslav elizarov sergey melnikov#natalia ivanova julia martynenko#andrey antropov olga chernyshova
1993#andrey antropov#marina yakusheva#andrey antropov nikolai zuyev#natalia ivanova julia martynenko#nikolai zuyev marina yakuscheva
1994#alexey sidorov#marina andrievskaia#nikolai zuyev eugeniy nazarenko#marina andrievskaia elena rybkina#nikolai zuyev marina andrievskaia
1995#vladislav tikhomirov#elena rybkina#nikolai zuyev pavel uvarov#marina yakusheva svetlana alferova#sergey melnikov marina yakusheva
1996#andrey antropov#marina yakusheva#andrey antropov nikolai zuyev#marina yakusheva nadezhda chervjakova#sergey melnikov marina yakusheva
1997#pavel uvarov#ella karachkova#andrey antropov nikolai zuyev#natalia gorodnicheva elena sukhareva#sergey melnikov svetlana alferova
1998#stanislav pukhov#elena sukhareva#andrey antropov nikolai zuyev#natalia gorodnicheva elena yakusheva#vadim itzkov elena sukhareva
1999#pavel uvarov#ella karachkova#pavel uvarov vjacheslav vorobjov#nadezhda chervjakova natalia djachkova#pavel uvarov ella karachkova
2000#pavel uvarov#marina yakusheva#alexandr nikolaenko nikolaj nikolaenko#julia martynenko irina rusljakova#artur khachaturjan marina yakusheva
2001#stanislav pukhov#ella karachkova#stanislav pukhov andrei jolobov#ella karachkova anastasia russkikh#alexandr russkikh anastasia russkikh
2002#egor izotov#ella karachkova#alexandr nikolaenko nikolaj nikolaenko#anastasia russkih ekaterina ananina#nikolai zuyev marina yakusheva
2003#stanislav pukhov#ella karachkova#stanislav pukhov nikolai zuyev#natalia gorodnicheva elena sukhareva#nikolai zuyev marina yakusheva
2004#evgeni isakov#ella karachkova#alexandr nikolaenko vitali durkin#elena schimko marina yakusheva#nikolai zuyev marina yakusheva
2005#stanislav pukhov#ella karachkova#alexandr nikolaenko vitali durkin#anastasia russkikh ella karachkova#nikolai zuyev marina yakusheva
2006#sergey ivlev#ella karachkova#alexandr nikolaenko vitali durkin#nina vislova valeria sorokina#stanislav pukhov marina yakusheva
2007#stanislav pukhov#ella karachkova#alexander nikolaenko vitali durkin#nina vislova valeria sorokina#alexandr nikolaenko nina vislova
2008#vladimir ivanov#ella karachkova#alexey vasiliev yevgenij dremin#nina vislova valeria sorokina#alexandr nikolaenko nina vislova
2009#vladimir malkov#ella karachkova#alexander nikolaenko vitali durkin#anastasia russkikh ekaterina ananina#evgenij dremin anastasia russkikh
2011#vladimir ivanov#ella diehl#andrej ashmarin nikolai ukk#nina vislova valeria sorokina#alexander nikolaenko valeria sorokina
