rider#manufacturer#laps#time / retired#grid
dani pedrosa#honda#24#40:46.694#7
andrea dovizioso#honda#24#+ 0.356#3
steve jenkner#aprilia#24#+ 0.548#6
youichi ui#aprilia#24#+ 0.754#1
pablo nieto#aprilia#24#+ 0.839#2
alex de angelis#aprilia#24#+ 1.965#4
mika kallio#honda#24#+ 13.997#8
lucio cecchinello#aprilia#24#+ 14.790#11
masao azuma#honda#24#+ 16.790#12
casey stoner#aprilia#24#+ 20.649#19
gino borsoi#aprilia#24#+ 21.809#15
arnaud vincent#ktm#24#+ 22.015#14
héctor barberá#aprilia#24#+ 23.814#13
simone corsi#honda#24#+ 23.871#16
mirko giansanti#aprilia#24#+ 24.786#9
gioele pellino#aprilia#24#+ 39.565#24
thomas lüthi#honda#24#+ 42.280#22
fabrizio lai#malaguti#24#+ 42.379#25
gábor talmácsi#aprilia#24#+ 51.145#10
marco simoncelli#aprilia#24#+ 51.186#18
stefano bianco#gilera#24#+ 53.316#17
mike di meglio#aprilia#24#+ 55.253#30
emilio alzamora#derbi#24#+ 56.952#21
jorge lorenzo#derbi#24#+ 57.035#20
álvaro bautista#aprilia#24#+ 58.109#26
chris martin#aprilia#24#+ 58.622#28
julián simón#malaguti#24#+ 1:05.036#27
roberto locatelli#ktm#24#+ 1:11.674#29
peter lenart#honda#24#+ 1:35.808#33
max sabbatani#aprilia#10#retirement#23
leon camier#honda#7#retirement#32
imre tóth#honda#2#retirement#31
stefano perugini#aprilia#1#retirement#5
official 125cc report#official 125cc report#official 125cc report#official 125cc report#official 125cc report
