year#delegate#hometown#placement in miss universe#other awards
1964#maria myrna sese panlilio#mabalacat , pampanga#did not place#none
1965#louise vail aurelio#iloilo city , iloilo#top 15 semi - finalist#none
1966#maria clarinda garces soriano#getigan , molino , bacoor , cavite#top 15 semi - finalist#none
1967#pilar delilah veloso pilapil#liloan , cebu#did not place#none
1968#rosario roselio zaragoza#cagayan de oro city#did not place#none
1969#gloria maria aspillera diaz#aringay , la union#miss universe 1969#10 best in swimsuit
1970#simonette berenguer delos reyes#pasay city#did not place#none
1971#vida valentina fernandez doria#quezon city#did not place#miss photogenic
1972#armi barbara quiray crespo#pasay city#top 12 semi - finalist#none
1973#maria margarita roxas moran#manila#miss universe 1973#miss photogenic
1974#guadalupe cuerva sanchez#pasay city , metro manila#top 12 semi - finalist#none
1975#rose marie singson brosas#makati , rizal#fourth runner - up#none
1976#lizbeth samson de padua#los baños , laguna#did not place#none
1977#anna lorraine tomas kier#baguio city#did not place#none
1978#jennifer mitzchek cortez#mandaue city , cebu#did not place#none
1979#criselda flores cecilio#quezon city , metro manila#did not place#none
1980#maria rosario rivera silayan#malate , manila , metro manila#third runner - up#none
1981#maria caroline de vera mendoza#tagoloan , misamis oriental#did not place#none
1982#maria isabel pagunsan lopez#cagayan de oro city#did not place#none
1983#rosita cornell capuyon#calatagan , batangas#did not place#none
1984#maria desiree erese verdadero#san pedro , laguna#third runner - up#none
1985#joyce ann fellosas burton#cavite city , cavite#did not place#none
1986#violeta asela enriquez naluz#apalit , pampanga#did not place#none
1987#geraldine edith villarruz asis#roxas city , capiz#top 10 semi - finalist (6th)#none
1988#perfida reyes limpin#tagbilaran city , bohol#did not place#none
1989#sarah jane davis paez#manila , metro manila#did not place#none
1990#germelina leah banal padilla#tondo , manila , metro manila#did not place#none
1991#anjanette palencia abayari#iloilo city#resigned#resigned
1991#maria lourdes talam gonzales#san fernando , pampanga#did not place#none
1992#elizabeth garcia berroya#cagayan de oro city#did not place#none
1993#melinda joanna tanseco gallardo#makati , metro manila#did not place#none
1994#charlene mae gonzalez bonnin#quezon city , metro manila#top 6 finalist (6th)#best national costume , most beautiful hair
1995#joanne zapanta santos#san fernando , pampanga#did not place#none
1996#aileen marfori damiles#las piñas , metro manila#did not place#miss photogenic
1997#abbygale williamson arenas#angeles city , pampanga#did not place#miss photogenic
1998#olivia tisha carlos silang#toronto , canada#dethroned#dethroned
1998#jewel may colmenares lobaton#cagayan de oro city#did not place#none
1999#janelle delfin bautista#quezon city , metro manila#dethroned#dethroned
1999#miriam redito quiambao#quezon city , metro manila#first runner - up#clairol herbal essences style
2000#nina ricci caldo alagao#makati city , metro manila#did not place#none
2001#zorayda ruth blanco andam#baguio city#did not place#first runner - up for best national costume
2002#karen loren medrano agustin#cagayan de oro city#did not place#none
2003#carla gay sunga balingit#mexico , pampanga#did not place#none
2004#maricar manalaysay balagtas#plaridel , bulacan#did not place#none
2005#gionna jimenez cabrera#pasig city , metro manila#did not place#miss photogenic , thai royal silk award
2006#lia andrea aquino ramos#davao city#did not place#miss photogenic
2007#anna theresa luy licaros#mandaluyong city , metro manila#did not place#miss photogenic
2008#jennifer tarol barrientos#san mateo , rizal#did not place#none
2009#pamela bianca ramos manalo#manila , metro manila#did not place#none
2010#maria venus bayonito raj#bato , camarines sur#fourth runner - up#none
2011#shamcey gurrea supsup#general santos city , south cotabato#third runner - up#none
2012#janine mari raymundo tugonon#orion , bataan#first runner - up#none
2013#ariella hernandez arida#alaminos , laguna#to be determined#to be determined
