season#season premiere#season finale#tv season#viewer rank#households / viewers (in millions)
1#september 19 , 1994#may 18 , 1995#1994 - 1995#2#19.08
2#september 21 , 1995#may 16 , 1996#1995 - 1996#1#21.10
3#september 26 , 1996#may 15 , 1997#1996 - 1997#1#20.56
4#september 25 , 1997#may 14 , 1998#1997 - 1998#2#30.2
5#september 24 , 1998#may 20 , 1999#1998 - 1999#1#25.4
6#september 30 , 1999#may 18 , 2000#1999 - 2000#4#24.95
7#october 12 , 2000#may 17 , 2001#2000 - 2001#2#22.4
8#september 27 , 2001#may 16 , 2002#2001 - 2002#3#22.1
9#september 26 , 2002#may 15 , 2003#2002 - 2003#6#19.99
10#september 25 , 2003#may 13 , 2004#2003 - 2004#8#19.04
11#september 23 , 2004#may 19 , 2005#2004 - 2005#16#15.17
12#september 22 , 2005#may 18 , 2006#2005 - 2006#30#12.06
13#september 21 , 2006#may 17 , 2007#2006 - 2007#40#11.56
14#september 27 , 2007#may 15 , 2008#2007 - 2008#54#9.20
15#september 25 , 2008#april 2 , 2009#2008 - 2009#37#10.30
