title#pages#first edition#second edition#isbn
hardcovers#hardcovers#hardcovers#hardcovers#hardcovers
the fantastic four : vol 1#256#november 1987#june 2003#978 - 0785111818
the fantastic four : vol 2#295#october 1988#july 2003#978 - 0785109808
the fantastic four : vol 3#234#september 1990#september 2003#978 - 0871356291
the silver surfer : vol 1#260#june 1991#june 2003#978 - 0785131137
the fantastic four : vol 4#264#november 1992#november 2003#978 - 0785111832
the fantastic four : vol 5#240#october 1993#january 2004#978 - 0785111849
the fantastic four : vol 6#240#october 2000#march 2004#978 - 0785112662
the fantastic four : vol 7#304#august 2004#n / a#978 - 0785115847
the fantastic four : vol 8#272#march 2005#n / a#978 - 0785116943
the fantastic four : vol 9#272#november 2005#n / a#978 - 0785118466
the fantastic four : vol 10#272#may 2006#n / a#978 - 0785120612
the fantastic four : vol 11#272#september 2008#n / a#978 - 0785130468
the fantastic four : vol 12#272#february 2010#n / a#978 - 0785142188
the fantastic four : vol 13#288#november 9 , 2011#n / a#978 - 0 - 7851 - 5040 - 4
the fantastic four : vol 14#272#november 14 , 2012#n / a#978 - 0 - 7851 - 5963 - 6
the fantastic four : vol 15#312#august 21 , 2013#n / a#978 - 0785166252
trade paperbacks#trade paperbacks#trade paperbacks#trade paperbacks#trade paperbacks
the fantastic four : vol 1#256#march 2009#n / a#978 - 0785137108
the fantastic four : vol 2#295#july 2009#n / a#978 - 0785137122
the fantastic four : vol 3#234#february 2010#n / a#978 - 0785142966
the fantastic four : vol 4#264#october 2010#n / a#978 - 0785145660
the fantastic four : vol 5#240#february 2011#n / a#978 - 0785150589
the fantastic four : vol 6#240#may 2011#n / a#978 - 0785150602
the fantastic four : vol 7#304#november 2011#n / a#978 - 0785150626
the fantastic four : vol 8#272#august 2012#n / a#978 - 0785162940
the fantastic four : vol 9#272#june 2013#n / a#978 - 0785167600
