season#series#episode title#original air date#nick prod
1#139#lillix#october 11 , 2003#941
2#140#nodesha#october 18 , 2003#942
3#141#da razkalz cru#october 25 , 2003#943
4#142#third eye blind#november 1 , 2003#944
5#143#fefe dobson#november 22 , 2003#945
7#145#drake bell#january 10 , 2004#947
8#146#ok go#january 24 , 2004#948
9#147#britney spears / nick cannon#january 31 , 2004#949
10#148#brittany snow / wakefield#february 7 , 2004#950
11#149#boomkat#february 14 , 2004#951
12#150#nick lachey#april 17 , 2004#952
13#151#avril lavigne#june 12 , 2004#953
14#152#substitute jack#june 19 , 2004#954
15#153#aaron carter#june 26 , 2004#955
