no in series#no in season#title#animation directors#written by#original air date
153a#1a#accidents will happen#andrew overtoom#luke brookshier , nate cash , and dani michaeli#july 18 , 2011
153b#1b#the other patty#andrew overtoom#luke brookshier , nate cash , and mr lawrence#june 25 , 2011
154a#2a#drive thru#tom yasumi#aaron springer and dani michaeli#july 19 , 2011
154b#2b#the hot shot#alan smart#aaron springer and derek iversen#june 18 , 2011
155a#3a#a friendly game#tom yasumi#casey alexander , zeus cervas , and steven banks#march 26 , 2011
155b#3b#sentimental sponge#alan smart#luke brookshier , nate cash , and mr lawrence#april 2 , 2011
157a#5a#squidward 's school for grown - ups#alan smart#aaron springer , sean charmatz , and richard pursel#june 4 , 2011
157b#5b#oral report#alan smart#casey alexander , zeus cervas , and dani michaeli#march 26 , 2011
158a#6a#sweet and sour squid#tom yasumi#aaron springer and mr lawrence#july 20 , 2011
158b#6b#the googly artiste#andrew overtoom#luke brookshier , nate cash , and derek iversen#july 21 , 2011
160b#8b#walking the plankton#alan smart#casey alexander , and zeus cervas , and mr lawrence#november 7 , 2011
161a#9a#mooncation#alan smart#sean charmatz , vincent waller , steven banks#november 10 , 2011
164a#12a#barnacle face#andrew overtoom#aaron springer , andrew goodman , dani michaeli#september 16 , 2011
164b#12b#pet sitter pat#tom yasumi#casey alexander , zeus cervas , and richard pursel#september 16 , 2011
165a#13a#house sittin' for sandy#alan smart#aaron springer , sean charmatz , and derek iversen#september 30 , 2011
165b#13b#smoothe jazz at bikini bottom#andrew overtoom#casey alexander , zeus cervas , and richard pursel#september 30 , 2011
167a#15a#the krabby patty that ate bikini bottom#alan smart#aaron springer and dani michaeli#november 25 , 2011
167b#15b#bubble buddy returns#alan smart#luke brookshier , marc ceccarelli , and mr lawrence#november 25 , 2011
168a#16a#restraining spongebob#tom yasumi#sean charmatz , vincent waller , and paul tibbitt#april 2 , 2012
168b#16b#fiasco!#tom yasumi#casey alexander , zeus cervas , and mr lawrence#april 5 , 2012
169b#17b#planet of the jellyfish#tom yasumi#luke brookshier , marc ceccarelli , and mr lawrence#march 31 , 2012
170a#18a#free samples#andrew overtoom#casey alexander , zeus cervas , and dani michaeli#april 6 , 2012
170b#18b#home sweet rubble#andrew overtoom#casey alexander , zeus cervas , and richard pursel#april 4 , 2012
171a#19a#karen 2.0#alan smart#casey alexander , zeus cervas , and richard pursel#april 13 , 2012
171b#19b#inspongeiac#alan smart#casey alexander , zeus cervas , and mr lawrence#april 9 , 2012
172a#20a#face freeze!#andrew overtoon#casey alexander , zeus cervas , and mr lawrence#july 21 , 2012
172b#20b#glove world rip#tom yasumi#aaron springer and dani michaeli#april 3 , 2012
173a#21a#squiditis#tom yasumi#aaron springer and derek iversen#april 11 , 2012
174a#22a#treats!#alan smart#aaron springer and dani michaeli#april 10 , 2012
174b#22b#for here or to go#andrew overtoom#luke brookshier , marc ceccarelli , and steven banks#april 12 , 2012
176a#24a#super evil aquatic villain team up is go!#alan smart#aaron springer and dani michaeli#october 14 , 2012
176b#24b#chum fricassee#tom yasumi#casey alexander , zeus cervas , and richard pursel#october 21 , 2012
177b#25b#move it or lose it#andrew overtoom#casey alexander , zeus cervas , and mr lawrence#october 21 , 2012
