year#venue#location#winners#runners - up
2012#gloria golf club#antalya , turkey#south korea#germany
2010#buenos aires golf club & olivos golf club#buenos aires , argentina#south korea#united states
2008#the grange golf club#adelaide , australia#sweden#spain
2006#stellenbosch golf club#cape town , south africa#south africa#sweden
2004#rio mar country club#río grande , puerto rico#sweden#canada & united states (tie)
2002#saujana golf & country club#kuala lumpur , malaysia#australia#thailand
2000#sporting club berlin#bad saarow , germany#france#south korea
1998#prince of wales country club#santiago , chile#united states#italy
1996#st elena golf club#manila , philippines#south korea#italy
1994#the national golf club#versailles , france#united states#south korea
1992#marine drive golf club#vancouver , british columbia#spain#great britain & ireland
1990#russley golf club#christchurch , new zealand#united states#new zealand
1988#drottningholm golf club#stockholm , sweden#united states#sweden
1986#lagunita country club#caracas , venezuela#spain#france
1984#royal hong kong golf club#fanling , hong kong#united states#france
1982#geneva golf club#geneva , switzerland#united states#new zealand
1980#pinehurst resort#pinehurst , north carolina#united states#australia
1978#pacific harbour golf & country club#suva , viti levu , fiji#australia#canada
1976#vilamoura golf club#portimão , algarve , portugal#united states#france
1974#casa de campo#la romana , dominican republic#united states#great britain & ireland
1972#the hundu country club#buenos aires , argentina#united states#france
1970#club de campo#madrid , spain#united states#france
1968#victoria golf club#cheltenham , victoria , australia#united states#australia
1966#mexico city golf club#mexico city , mexico#united states#canada
1964#st germain golf club#saint - germain - en - laye , france#france#united states
