rider#manufacturer#laps#time / retired#grid
valentino rossi#honda#19#38:49.425#1
alex barros#honda#19#+ 2.233#5
carlos checa#yamaha#19#+ 9.682#6
max biaggi#yamaha#19#+ 13.308#2
tohru ukawa#honda#19#+ 32.386#8
kenny roberts , jr#suzuki#19#+ 33.278#3
john hopkins#yamaha#19#+ 35.463#10
shinya nakano#yamaha#19#+ 35.619#14
norifumi abe#yamaha#19#+ 37.443#19
jurgen vd goorbergh#honda#19#+ 48.100#15
alex hofmann#yamaha#19#+ 48.325#12
daijiro kato#honda#19#+ 49.371#17
tetsuya harada#honda#19#+ 51.758#7
olivier jacque#yamaha#19#+ 1:11.790#20
akira ryo#suzuki#19#+ 3:14.399#21
nobuatsu aoki#proton kr#11#retirement#13
jeremy mcwilliams#proton kr#8#retirement#9
sete gibernau#suzuki#6#accident#16
rãgis laconi#aprilia#6#retirement#11
loris capirossi#honda#4#accident#4
pere riba#yamaha#3#retirement#18
