conference#of bids#record#win %#round of 32#sweet sixteen#elite eight#final four#championship game
southeastern#7#19 - 6#.760#5#5#4#2#2
big ten#6#7 - 6#.538#5#2#-#-#-
atlantic coast#4#6 - 4#.600#4#1#1#-#-
big eight#4#4 - 4#.500#3#1#-#-#-
southwest#4#3 - 4#.429#2#1#-#-#-
conference usa#4#2 - 4#.333#2#-#-#-#-
pacific - 10#3#4 - 3#.571#1#1#1#1#-
atlantic 10#3#1 - 3#.250#1#-#-#-#-
big east#2#5 - 2#.714#2#1#1#1#-
colonial#2#2 - 2#.500#1#1#-#-#-
mid - american#2#2 - 2#.500#2#-#-#-#-
west coast#2#2 - 2#.500#1#1#-#-#-
western athletic#2#1 - 2#.333#1#-#-#-#-
ohio valley#2#0 - 2#-#-#-#-#-#-
sun belt#1#3 - 1#.750#1#1#1#-#-
southland#1#2 - 1#.667#1#1#-#-#-
