series#season#title#director#writer (s)#airdate
464#1#lyle 's kid#bernard mceveety#calvin clements , sr#september 23 , 1968
465#2#the hide cutters#bernard mceveety#jack turly#september 30 , 1968
466#3#zavala#vincent mceveety#paul savage#october 7 , 1968
467#4#uncle finney#bernard mceveety#calvin clements , sr#october 14 , 1968
468#5#slocum#leo penn#ron bishop#october 21 , 1968
469#6#o'quillian#john rich#ron bishop#october 28 , 1968
470#7#9:12 to dodge#marvin j chomsky#preston wood#november 11 , 1968
471#8#abelia#vincent mceveety#calvin clements , sr#november 18 , 1968
472#9#railroad!#marvin chomsky#arthur rowe#november 25 , 1968
473#10#the miracle man#bernard mceveety#calvin clements , sr#december 2 , 1968
474#11#waco#robert totten#ron bishop#december 9 , 1968
475#12#lobo#bernard mceveety#jim byrnes#december 16 , 1968
476#13#johnny cross#herschel daugherty#calvin clements , sr#december 23 , 1968
477#14#the money store#vincent mceveety#william blinn#december 30 , 1968
479#16#time of the jackals#vincent mceveety#richard fielder#january 13 , 1969
480#17#mannon#robert butler#ron bishop#january 20 , 1969
481#18#goldtown#gunnar hellstrom#calvin clements , sr#january 27 , 1969
482#19#the mark of cain#vincent mceveety#ron bishop#february 3 , 1969
483#20#reprisal#bernard mceveety#jack hawn#february 10 , 1969
484#21#the long night#john rich#dick carr#february 17 , 1969
485#22#the night riders#irving j moore#calvin clements , sr#february 24 , 1969
486#23#the intruder#vincent mceveety#jim byrnes#march 3 , 1969
487#24#the good samaritans#bernard mceveety#paul savage#march 10 , 1969
488#25#the prisoner#leo penn#calvin clements , sr#march 17 , 1969
