name#gnis feature id#state#county#type#usgs 7.5' map
diamond lake#1412903#ak#kenai peninsula#lake#tyonek a - 1 sw
diamond lake#1401180#ak#matanuska - susitna#lake#tyonek c - 1 se
diamond lake#79643#ar#izard#reservoir#myron
diamond lake#222350#ca#merced#reservoir#pacheco pass
diamond lake#259344#ca#siskiyou#lake#english peak
diamond lake#259343#ca#tehama#lake#lyonsville
diamond lake#222349#ca#trinity#lake#siligo peak
diamond lake#181010#co#boulder#lake#east portal
diamond lake#179885#co#lake#lake#leadville north
diamond lake#179929#co#lake#reservoir#climax
diamond lake#206682#ct#hartford#lake#marlborough
diamond lake#330735#ga#gilmer#reservoir#tickanetley
diamond lake#455907#ia#dickinson#lake#okoboji
diamond lake#455908#ia#poweshiek#lake#montezuma
diamond lake#380577#id#elmore#lake#nahneke mountain
diamond lake#380576#id#idaho#lake#hunter peak
diamond lake#407182#il#lake#lake#grayslake
diamond lake#433531#in#kosciusko#lake#silver lake
diamond lake#433530#in#noble#lake#ligonier
diamond lake#624634#mi#cass#lake#vandalia
diamond lake#624636#mi#mecosta#lake#mecosta nw
diamond lake#1619713#mi#newaygo#lake#white cloud
diamond lake#624637#mi#osceola#lake#le roy
diamond lake#624635#mi#shiawassee#lake#laingsburg
diamond lake#642802#mn#aitkin#lake#spirit lake
diamond lake#655988#mn#cass#lake#webb lake
diamond lake#655987#mn#cook#lake#munker island
diamond lake#642799#mn#hennepin#lake#minneapolis south
diamond lake#642804#mn#hennepin#lake#rogers
diamond lake#642803#mn#hubbard#lake#lake hattie
diamond lake#642800#mn#kandiyohi#lake#atwater
diamond lake#1776001#mn#kandiyohi#reservoir#atwater
diamond lake#642798#mn#le sueur#lake#kilkenny
diamond lake#642801#mn#pope#lake#lowry
diamond lake#805956#mt#carbon#lake#fossil lake
diamond lake#782360#mt#flathead#lake#amphitheatre mountain
diamond lake#782357#mt#madison#lake#beacon point
diamond lake#782359#mt#mineral#lake#torino peak
diamond lake#782358#mt#park#lake#crazy peak
diamond lake#1844933#ne#brown#lake#koshopah ne
diamond lakes#1883153#ne#gage#reservoir#odell
diamond lake#828711#ne#sheridan#lake#twin lakes
diamond lake#875909#nj#gloucester#reservoir#buena
diamond lake#948414#ny#hamilton#lake#morehouse lake
diamond lake#1140999#or#douglas#lake#diamond lake
diamond lake#1141000#or#union#lake#steamboat lake
diamond lake#1173222#pa#huntingdon#lake#franklinville
diamond lake#1254685#sd#minnehaha#lake#buffalo trading post
diamond lake#1440448#ut#duchesne#lake#tworoose pass
diamond lake#1440449#ut#summit#lake#mirror lake
diamond lake#1518752#wa#kittitas#lake#polallie ridge
diamond lake#1518754#wa#pend oreille#lake#diamond lake
diamond lake#1518753#wa#snohomish#lake#lime mountain
diamond lake#1518751#wa#yakima#lake#jennies butte
diamond lake#1579126#wi#bayfield#lake#diamond lake
diamond lake#1579127#wi#oneida#lake#lac du flambeau sw
diamond lake#1563966#wi#polk#lake#frederic
diamond lake#1579125#wi#taylor#lake#lublin
diamond lake#1563967#wi#vilas#lake#boulder junction
diamond lake#1587590#wy#albany#lake#bosler
diamond lake#1587591#wy#johnson#lake#cloud peak
diamond lake#1599242#wy#sublette#lake#temple peak
