rank#prime number#found by#found date#number of digits
1st#2 57885161 1#gimps#2013 january 25#17425170
2nd#2 43112609 1#gimps#2008 august 23#12978189
3rd#2 42643801 1#gimps#2009 april 12#12837064
4th#2 37156667 1#gimps#2008 september 6#11185272
5th#2 32582657 1#gimps#2006 september 4#9808358
6th#2 30402457 1#gimps#2005 december 15#9152052
7th#2 25964951 1#gimps#2005 february 18#7816230
8th#2 24036583 1#gimps#2004 may 15#7235733
9th#2 20996011 1#gimps#2003 november 17#6320430
10th#2 13466917 1#gimps#2001 november 14#4053946
