producer#product#samples taken#samples failed#melamine content (mg / kg)
shijiazhuang sanlu group#三鹿牌嬰幼兒配方乳粉#11#11#2563
shanghai panda dairy#熊貓可寶牌嬰幼兒配方乳粉#5#3#619
qingdao shengyuan dairy#聖元牌嬰幼兒配方乳粉#17#8#150
shanxi gu cheng dairy#古城牌嬰幼兒配方乳粉#13#4#141.6
jiangxi guangming yingxiong dairy#英雄牌嬰幼兒配方乳粉#2#2#98.6
baoji huimin dairy#惠民牌嬰幼兒配方乳粉#1#1#79.17
inner mongolia mengniu dairy#蒙牛牌嬰幼兒配方乳粉#28#3#68.2
torador dairy industry (tianjin)#可淇牌嬰幼兒配方乳粉#1#1#67.94
guangdong yashili group#雅士利牌嬰幼兒配方乳粉#30#8#53.4
hunan peiyi dairy#南山倍益牌嬰幼兒配方乳粉#3#1#53.4
heilongjiang qilin dairy#嬰幼兒配方乳粉2段基粉#1#1#31.74
shanxi yashili dairy#雅士利牌嬰幼兒配方乳粉#4#2#26.3
shenzhen jinbishi milk#金必氏牌嬰幼兒配方乳粉#2#2#18
scient (guangzhou) infant nutrition#施恩牌嬰幼兒配方乳粉#20#14#17
guangzhou jinding dairy products factory#金鼎牌嬰幼兒配方乳粉#3#1#16.2
inner mongolia yili industrial group#伊利牌兒童配方乳粉#35#1#12
yantai ausmeadow nutriment#澳美多牌嬰幼兒配方乳粉#16#6#10.7
qingdao suncare nutritional technology#愛可丁牌嬰幼兒配方乳粉#3#1#4.8
xi'an baiyue dairy#御寶牌嬰幼兒配方乳粉#3#1#3.73
yantai leilei dairy#磊磊牌嬰幼兒配方乳粉#3#3#1.2
shanghai baoanli dairy#寶安力牌嬰幼兒配方乳粉#1#1#0.21
