week#date#opponent#score#result#attendance#record
1#june 26#montreal alouettes#33 - 10#loss#20589#0 - 1
2#july 3#toronto argonauts#32 - 13#win#30822#1 - 1
3#july 12#saskatchewan roughriders#33 - 28#loss#20874#1 - 2
4#july 17#calgary stampeders#43 - 16#loss#31116#1 - 3
5#july 24#edmonton eskimos#19 - 13#loss#21402#1 - 4
6#july 31#montreal alouettes#40 - 33#loss#20202#1 - 5
7#aug 7#toronto argonauts#45 - 21#win#19423#2 - 5
8#aug 14#winnipeg blue bombers#37 - 24#loss#25484#2 - 6
9#-#-#-#-#-#
10#sept 1#toronto argonauts#34 - 31#loss#25911#2 - 7
11#sept 6#bc lions#35 - 12#loss#18723#2 - 8
12#sept 13#edmonton eskimos#38 - 33#loss#37500#2 - 9
13#sept 19#winnipeg blue bombers#25 - 23#loss#19102#2 - 10
14#sept 27#bc lions#40 - 10#loss#31161#2 - 11
15#oct 4#montreal alouettes#44 - 36#win#20423#3 - 11
16#oct 13#montreal alouettes#42 - 11#loss#20202#3 - 12
17#oct 19#saskatchewan roughriders#30 - 29#loss#30945#3 - 13
18#oct 24#calgary stampeders#28 - 17#loss#20614#3 - 14
19#nov 1#winnipeg blue bombers#44 - 30#loss#24595#3 - 15
