date#course#distance#winner#race leader
18 may#milan to udine#-#ernesto azzini ( ita )#ernesto azzini ( ita )
20 may#udine to bologna#-#jean - baptiste dortignacq ( fra )#carlo galetti ( ita )
22 may#bologna to teramo#-#carlo galetti ( ita )#carlo galetti ( ita )
24 may#teramo to naples#-#pierino albini ( ita )#carlo galetti ( ita )
26 may#naples to rome#-#eberardo pavesi ( ita )#carlo galetti ( ita )
28 may#rome to florence#-#luigi ganna ( ita )#carlo galetti ( ita )
30 may#florence to genoa#-#luigi ganna ( ita )#carlo galetti ( ita )
1 june#genoa to mondovì#-#carlo galetti ( ita )#carlo galetti ( ita )
2 june#mondovì to turin#-#eberardo pavesi ( ita )#carlo galetti ( ita )
5 june#turin to milan#-#luigi ganna ( ita )#carlo galetti ( ita )
total#total#-#km (mi)#km (mi)
