player#sacks#ints#int yds#int lg#int td#fumb r#fumb yds#fumb lg#fumb td#fumb f
agustin barrenechea (lb)#3#2#16#12#0#0#0#0#0#0
siddeeq shabazz (lb)#3#1#4#4#0#1#3#3#0#2
kenny onatolu (lb)#3#0#0#0#0#2#3#3#0#1
jason goss (hb)#1#5#182#94#2#3#55#34#0#0
jordan younger (cb)#0#1#5#5#0#0#0#0#0#0
jontã© buhl (cb / hb)#1#4#46#27#0#0#0#0#0#0
shannon garrett (db)#1#1#30#30#0#1#25#25#1#0
keith williams (db)#0#1#9#9#0#1#0#0#0#1
lenny williams (hb)#0#2#23#16#0#0#0#0#0#3
dario romero (dt)#6#0#0#0#0#1#0#0#0#1
jim davis (de)#6#0#0#0#0#0#0#0#0#1
montez murphy (de)#3#0#0#0#0#0#0#0#0#0
brandon guillory (de)#6#0#0#0#0#0#0#0#0#0
tyler clutts (de)#0#0#0#0#0#1#2#2#0#0
fred perry (de)#1#0#0#0#0#1#0#0#0#1
eric taylor (dt)#1#0#0#0#0#1#0#0#0#0
bradley robinson (db)#0#3#52#30#0#0#0#0#0#0
tristan jackson (cb)#0#2#123#89#1#0#0#0#0#1
joe anoa'i (dt)#0#0#0#0#0#0#0#0#0#1
scott coe (lb)#0#0#0#0#0#0#0#0#0#0
darrell robertson (lb)#0#0#0#0#0#0#0#0#0#0
trey young (lb)#0#1#0#0#0#0#0#0#0#1
kamau peterson (sb)#0#0#0#0#0#0#0#0#0#0
wale dada (cb)#0#0#0#0#0#0#0#0#0#0
calvin armstrong (og)#0#0#0#0#0#0#0#0#0#0
a. j. harris (rb)#0#0#0#0#0#0#0#0#0#0
calvin mccarty (rb)#0#0#0#0#0#0#0#0#0#0
patrick kabongo (og)#0#0#0#0#0#0#0#0#0#0
ricky ray (qb)#0#0#0#0#0#0#0#0#0#0
john comiskey (og)#0#0#0#0#0#0#0#0#0#0
kelly campbell (wr)#0#0#0#0#0#0#0#0#0#0
brock ralph (wr)#0#0#0#0#0#0#0#0#0#0
justin cooper (de)#0#0#0#0#0#0#0#0#0#0
pierre - luc yao (rb)#0#0#0#0#0#0#0#0#0#0
mathieu bertrand (fb)#0#0#0#0#0#0#0#0#0#0
andrew nowacki (wr)#0#0#0#0#0#0#0#0#0#0
fred stamps (sb)#0#0#0#0#0#0#0#0#0#0
dan comiskey (c)#0#0#0#0#0#0#0#0#0#0
maurice mann (sb)#0#0#0#0#0#0#0#0#0#0
jason tucker (wr)#0#0#0#0#0#0#0#0#0#0
jason maas (qb)#0#0#0#0#0#0#0#0#0#0
chris ciezki (fb)#0#0#0#0#0#2#4#4#0#1
adrian baird (de)#0#0#0#0#0#0#0#0#0#2
derrick doggett (lb)#0#0#0#0#0#0#0#0#0#0
noel prefontaine (k / p)#0#0#0#0#0#0#0#0#0#0
taylor inglis (ls)#0#0#0#0#0#0#0#0#0#0
tim st. pierre (lb)#0#0#0#0#0#0#0#0#0#0
mike maurer (fb)#0#0#0#0#0#0#0#0#0#0
j.r. larose (db)#0#0#0#0#0#0#0#0#0#0
kevin challenger (wr)#0#0#0#0#0#0#0#0#0#0
