place#player#country#score#to par#money
1#ben crenshaw#united states#70 + 67 + 69 + 68 = 274#- 14#396000
2#davis love iii#united states#69 + 69 + 71 + 66 = 275#- 13#237600
t3#jay haas#united states#71 + 64 + 72 + 70 = 277#- 11#127600
t3#greg norman#australia#73 + 68 + 68 + 68 = 277#- 11#127600
t5#steve elkington#australia#73 + 67 + 67 + 72 = 279#- 9#83600
t5#david frost#south africa#66 + 71 + 71 + 71 = 279#- 9#83600
t7#scott hoch#united states#69 + 67 + 71 + 73 = 280#- 8#70950
t7#phil mickelson#united states#66 + 71 + 70 + 73 = 280#- 8#70950
9#curtis strange#united states#72 + 71 + 65 + 73 = 281#- 7#63800
t10#fred couples#united states#71 + 69 + 67 + 75 = 282#- 6#57200
t10#brian henninger#united states#70 + 68 + 68 + 76 = 282#- 6#57200
