name#reign#days held#location#defenses
charles c smith#1#unknown#n /a#0
morris grant#1#unknown#new york city , new york , usa#1
charles hadley#1#770#new york city , new york , usa#3
george godfrey (b 1853)#1#2009#boston , massachusetts , usa#2
peter jackson#1#3041#san francisco , california , usa#0
bob armstrong#1#404#new york city , new york , usa#1
frank childs#1#228#chicago , illinois , usa#2
george byers#1#913#chicago , illinois , usa#4
frank childs#2#345#hot springs , arkansas , usa#0
ed martin#1#346#chicago , illinois , usa#2
jack johnson#1#2151#los angeles , california , usa#17
sam mcvea#1#56#paris , france#1
joe jeanette#1#507#paris , france#1
sam langford#1#476#boston , massachusetts , usa#3
sam mcvea#2#104#sydney , australia#0
sam langford#2#753#sydney , australia#2
harry wills#1#209#new orleans , louisiana , usa#1
sam langford#3#403#los angeles , california , usa#0
harry wills#2#39#new orleans , louisiana , usa#0
sam langford#4#349#new orleans , louisiana , usa#0
bill tate#1#97#kansas city , missouri , usa#0
sam langford#5#347#st louis , missouri , usa#1
harry wills#3#3103#panama city , panama#25
george godfrey (b 1897)#1#628#buffalo , new york , usa#3
larry gains#1#unknown#buffalo , new york , usa#0
george godfrey (b 1897)#2#777#toronto , ontario , canada#3
obie walker#1#649#philadelphia , pennsylvania , usa#0
larry gains#2#unknown#leicester , england#0
