year#date#title#format (s)#award description (s)#result (s)
1987#july 28#whitney#album#gold#won
1987#july 28#whitney#album#platinum#won
1987#july 28#whitney#album#2 multi - platinum#won
1987#july 28#i wanna dance with somebody (who loves me)#single#gold#won
1987#august 4#whitney#album#3 multi - platinum#won
1987#september 30#whitney#album#4 multi - platinum#won
1987#november 20#whitney#album#5 multi - platinum#won
1988#april 18#whitney#album#6 multi - platinum#won
1989#february 13#i wanna dance with somebody (who loves me)#single#platinum#won
1993#june 23#whitney#album#7 multi - platinum#won
1994#november 29#whitney#album#8 multi - platinum#won
1995#november 29#whitney#album#9 multi - platinum#won
1995#december 6#so emotional#single#gold#won
