res#record#opponent#method#event#round#time#location
win#27 - 10 - 7#ryuki ueyama#tko (punches)#rings - reincarnation#1#2:32#tokyo , japan
win#26 - 10 - 7#daisuke hanazawa#tko (punches)#pancrase - impressive tour 9#2#4:03#tokyo , japan
win#25 - 10 - 7#katsuya inoue#submission (armbar)#pancrase - impressive tour 9#1#1:44#tokyo , japan
win#24 - 10 - 7#ryo asami#tko (doctor stoppage)#rings - the outsider 17#1#1:00#tokyo , japan
win#23 - 10 - 7#keigo hirayama#submission (guillotine choke)#zst27#1#1:44#tokyo , japan
win#22 - 10 - 7#eriya matsuda#submission (heel hook)#zst25#1#1:04#tokyo , japan
loss#21 - 10 - 7#jorge masvidal#decision (split)#astra#3#5:00#tokyo , japan
draw#21 - 9 - 7#kenichi ito#draw#zst23#2#5:00#tokyo , japan
win#21 - 9 - 6#daisuke nakamura#submission (leg scissor choke)#zst22#1#1:37#tokyo , japan
win#20 - 9 - 6#yojiro uchimura#submission (achilles lock)#zst21#1#1:25#tokyo , japan
loss#19 - 9 - 6#kuniyoshi hironaka#submission (reverse full - nelson)#zst20#2#2:43#tokyo , japan
win#19 - 8 - 6#katsuhiko nagata#submission (heel hook)#zst18: sixth anniversary#2#4:38#tokyo , japan
loss#18 - 8 - 6#koji oishi#decision (unanimous)#pancrase : shining 8#3#5:00#tokyo , japan
draw#18 - 7 - 6#masanori kanehara#draw#zst15: fifth anniversary#2#5:00#tokyo , japan
loss#18 - 7 - 5#dennis siver#ko (punch)#ufc 75#2#2:04#london , england
loss#18 - 6 - 5#thiago tavares#decision (unanimous)#ufc fight night : stevenson vs guillard#3#5:00#las vegas , nevada , united states
win#18 - 5 - 5#masayuki okude#submission (armbar)#zst12#1#0:58#tokyo , japan
draw#17 - 5 - 5#erikas petraitis#draw#zst11#2#5:00#tokyo , japan
win#17 - 5 - 4#shinya sato#submission (armbar)#zst : gt - f2#1#2:09#tokyo , japan
draw#16 - 5 - 4#darius skliaudys#draw#zst9#2#5:00#tokyo , japan
win#16 - 5 - 3#vito woods#submission (armbar)#xtreme fighting organization 8#1#1:23#illinois , united states
loss#15 - 5 - 3#luiz azeredo#ko (punch)#pride bushido 9#1#0:11#tokyo , japan
draw#15 - 4 - 3#darius skliaudys#draw#zst grand prix 2: final round#3#3:00#tokyo , japan
loss#15 - 4 - 2#roger huerta#tko (punches)#xtreme fighting organization 4#1#1:29#illinois , united states
loss#15 - 3 - 2#yves edwards#tko (head kick & punches)#euphoria : road to the titles#1#3:10#new jersey , united states
win#15 - 2 - 2#hideo tokoro#submission (heel hook)#zst6#1#1:44#tokyo , japan
win#14 - 2 - 2#remigijus morkevicius#submission (armbar)#zst : battle hazard 1#1#2:07#tokyo , japan
loss#13 - 2 - 2#marcus aurãlio#tko (cut)#zst5#2#3:34#tokyo , japan
loss#13 - 1 - 2#rich clementi#decision (unanimous)#zst grand prix : final round#2#5:00#tokyo , japan
win#13 - 0 - 2#hirou tomiyama#submission (banana split)#zst#1#0:53#tokyo , japan
win#12 - 0 - 2#mindaugas smirnovas#submission (armbar)#zst grand prix : opening round#1#0:41#tokyo , japan
win#11 - 0 - 2#mindaugas smirnovas#technical submission (heel hook)#zst 4: the battle field 4#1#1:36#tokyo , japan
draw#10 - 0 - 2#mindaugas smirnovas#draw#rings lithuania - bushido rings 7: adrenalinas#3#3:00#lithuania
win#10 - 0 - 1#antoine skinner#submission (toe hold)#zst 2: the battle field 2#1#1:35#tokyo , japan
win#9 - 0 - 1#mindaugas laurinaitis#technical submission (triangle choke)#zst 1: the battle field 1#1#2:16#tokyo , japan
win#8 - 0 - 1#kenichi serizawa#tko (punches)#gcm : demolition 1#1#0:20#japan
win#7 - 0 - 1#masaya takita#submission (triangle armbar)#gcm : org 3rd#1#2:32#tokyo , japan
win#6 - 0 - 1#yoshinobu ota#technical submission (rear naked choke)#rings : world title series grand final#1#1:41#yokohama , japan
win#5 - 0 - 1#takahito iida#submission (armbar)#rings : world title series 5#1#3:02#yokohama , japan
win#4 - 0 - 1#hideo tokoro#decision (majority)#rings : battle genesis vol 8#3#5:00#tokyo , japan
draw#3 - 0 - 1#jiro wakabayashi#draw#rings : world title series 1#3#5:00#tokyo , japan
win#3 - 0#curtis brigham#submission (kimura)#rings usa : battle of champions#2#1:59#iowa , united states
win#2 - 0#tashiro nishiuchi#submission (armbar)#rings : battle genesis vol 6#1#0:32#tokyo , japan
win#1 - 0#kiyohito sugata#tko (cut)#rings : battle genesis vol 6#1#0:42#tokyo , japan
