institution#location#founded#years in iiac (approx)#team nickname
illinois state university#normal , illinois#1857#1910 - 1970#redbirds
bradley university#peoria , illinois#1897#1910 - 1937#braves
eureka college#eureka , illinois#1855#1910 - 1942#red devils
hedding college (defunct)#abingdon , illinois#1855#1910 - 1926#orangemen
illinois college#jacksonville , illinois#1829#1910 - 1937#blueboys
illinois wesleyan university#bloomington , illinois#1850#1910 - 1937#titans
lincoln college , illinois#lincoln , illinois#1865#1910 - 1928#lynx
lombard college (defunct)#galesburg , illinois#1853#1910 - 1929#golden tornado / olive
millikin university#decatur , illinois#1901#1910 - 1937#big blue
shurtleff college (defunct)#alton , illinois#1827#1910 - 1937#pioneers / bison
william & vashti college (defunct)#aledo , illinois#1908#1910 - 1917#unknown
augustana college#rock island , illinois#1860#1912 - 1937#vikings
carthage college#kenosha , wisconsin#1847#1912 - 1941#red men
eastern illinois university#charleston , illinois#1895#1912 - 1970#panthers
mckendree college#lebanon , illinois#1828#1912 - 1938#bearcats
southern illinois university carbondale#carbondale , illinois#1869#1913 - 1962#maroons / salukis
blackburn college#carlinville , illinois#1837#1914 - 1923#beavers
st viator college (defunct)#bourbonnais , illinois#1865#1916 - 1938#irish / green
western illinois university#macomb , illinois#1899#1914 - 1970#leathernecks
knox college#galesburg , illinois#1837#1919 - 1937#prairie fire
wheaton college#wheaton , illinois#1860#1919 - 1937#thunder
lake forest college#lake forest , illinois#1857#1919 - 1937#foresters
northern illinois university#dekalb , illinois#1895#1920 - 1967#huskies
monmouth college#monmouth , illinois#1853#1921 - 1937#fighting scots
mount morris college (defunct)#mount morris , illinois#1839#1922 - 1931#mountaineers / mounders
elmhurst college#elmhurst , illinois#1871#1925 - 1941#bluejays
north central college#naperville , illinois#1861#1927 - 1937#cardinals
central michigan university#mount pleasant , michigan#1892#1950 - 1970#chippewas
