rider#manufacturer#laps#time#grid
marco simoncelli#gilera#23#41:01.859#4
alvaro bautista#aprilia#23#+ 0.039#1
héctor barbera#aprilia#23#+ 11.291#3
alex debon#aprilia#23#+ 21.373#2
thomas luthi#aprilia#23#+ 26.621#12
mattia pasini#aprilia#23#+ 26.720#5
hiroshi aoyama#ktm#23#+ 35.818#8
héctor faubel#aprilia#23#+ 36.321#6
julian simon#ktm#23#+ 36.964#10
lukas pesek#aprilia#23#+ 41.237#16
ratthapark wilairot#honda#23#+ 52.391#14
yuki takahashi#honda#23#+ 56.656#7
alex baldolini#aprilia#23#+ 59.282#19
manuel poggiali#gilera#23#+ 1:02.503#17
fabrizio lai#gilera#23#+ 1:02.656#18
eugene laverty#aprilia#23#+ 1:07.418#20
russel gomez#aprilia#23#+ 1 lap#21
doni tata pradita#yamaha#23#+ 1 lap#24
mika kallio#ktm#19#retirement#9
imre toth#aprilia#9#retirement#22
karel abraham#aprilia#7#accident#15
aleix espargaro#aprilia#2#retirement#13
daniel arcas#honda#2#accident#23
roberto locatelli#gilera#0#accident#11
