years#coach#seasons#wins#losses#ties#pct
1887 - 89 , 1892 - 93#none#5#7#4#1#625
1894#jl morison#1#3#1#1#700
1895#hg hadden#1#3#1#0#750
1896 - 98#frank e hering#3#12#6#1#658
1899#james mcweeney#1#6#3#1#650
1900 - 01#pat o'dea#2#14#4#2#750
1902 - 03#james f faragher#2#14#2#2#843
1904#red salmon#1#5#3#0#625
1905#henry j mcglew#1#5#4#0#556
1906 - 07#thomas a barry#2#12#1#1#893
1908#victor m place#1#8#1#0#889
1909 - 10#shorty longman#2#11#1#2#857
1911 - 12#jack marks#2#13#0#2#933
1913 - 17#jesse harper#5#34#5#1#863
1918 - 30#knute rockne#13#105#12#5#881
1931 - 33#hunk anderson#3#16#9#2#630
1934 - 40#elmer layden#7#47#13#3#770
1941 - 43 , 1946 - 53#frank leahy#11#87#11#9#855
1944#ed mckeever#1#8#2#0#800
1945 , 1963#hugh devore#2#9#9#1#500
1954 - 58#terry brennan#5#32#18#0#640
1959 - 62#joe kuharich#4#17#23#0#425
1964 - 74#ara parseghian#11#95#17#4#836
1975 - 80#dan devine#6#53#16#1#764
1981 - 85#gerry faust#5#30#26#1#535
1986 - 96#lou holtz#11#100#30#2#765
1997 - 01#bob davie#5#35#25#-#583
2001#george o'leary#0#0#0#-#-
2002 - 04#tyrone willingham#3#21#15#-#583
2004#kent baer#0#0#1#-#000
2005 - 09#charlie weis#5#35#27#-#565
2010 - present#brian kelly#4#35#13#-#729
