rank#movie#year#studio (s)#single day net gross#day in release#day of week
1#chennai express#2013#red chillies entertainment#33 , 12 , 00000#friday#1
2#ek tha tiger#2012#yash raj films#32 , 93 , 00000#wednesday#1
3#chennai express#2013#red chillies entertainment#32 , 50 , 00000#sunday#3
4#chennai express#2013#red chillies entertainment#28 , 50 , 00000#saturday#2
5#dabangg 2#2012#arbaaz khan productions#25 , 50 , 00000#sunday#3
6#raone#2011#red chillies entertainment#25 , 00 , 00000#friday#2
7#yeh jawaani hai deewani#2013#dharma productions#22 , 69 , 00000#sunday#3
8#agneepath#2012#dharma productions#21 , 72 , 00000#thursday#1
9#bodyguard#2011#reliance entertainment#20 , 66 , 00000#wednesday#1
10#yeh jawaani hai deewani#2013#dharma productions#20 , 50 , 00000#saturday#2
