heat#lane#name#country#mark#react
1#5#tyler christopher#canada#46.57#0.253
1#6#johan wissman#sweden#46.86#0.242
1#3#sean wroe#australia#47.13 pb#0.257
1#2#denis alekseyev#russia#47.18#0.292
1#4#california molefe#botswana#47.74#0.342
1#1#david neville#united states#48.18#0.294
2#4#chris brown#bahamas#46.68#0.254
2#5#nery brenes#costa rica#46.85#0.298
2#6#maksim dyldin#russia#46.92#0.257
2#3#chris lloyd#dominica#46.92#0.189
2#2#richard buck#united kingdom#47.60#0.232
2#1#dewayne barrett#jamaica#48.41#0.242
