call sign#frequency mhz#city of license#erp w#class#fcc info
w283an#104.5#altamonte springs , florida#10#d#fcc
w283 am#104.5#arcadia , florida#27#d#fcc
w298 am#107.5#aurora , florida#13#d#fcc
w202cb#88.3#bayonet point , florida#27#d#fcc
w207bu#89.3#tarpon springs , florida#10#d#fcc
w220dq#91.9#belle glade , florida#13#d#fcc
w241ax#96.1#boca raton , florida#13#d#fcc
w246bt#97.1#clermont , florida#27#d#fcc
w284av#104.7#deltona , florida#10#d#fcc
w228bv#94.5#fort lauderdale , florida#80#d#fcc
w275ax#102.9#fort meade , florida#27#d#fcc
w244bj#96.7#frostproof , florida#19#d#fcc
w282bg#104.3#grant , florida#40#d#fcc
w233av#94.5#gulfport , florida#10#d#fcc
w245bc#96.9#lauderdale lakes , florida#67#d#fcc
w243ar#96.5#lehigh acres , florida#28#d#fcc
w233ap#94.5#oakland park , florida#27#d#fcc
w273br#102.5#palm coast , florida#10#d#fcc
w280du#103.9#west palm beach , florida#10#d#fcc
w237bd#95.3#pompano beach , florida#80#d#fcc
w214bv#90.7#port charlotte , florida#10#d#fcc
w252bc#98.3#port st lucie , florida#19#d#fcc
w236ao#95.1#port st lucie , florida#13#d#fcc
w251bf#98.1#punta gorda , florida#170#d#fcc
