rider#manufacturer#laps#time / retired#grid
lukáš pešek#derbi#23#38:03.020#3
joan olivé#aprilia#23#+ 0.090#8
héctor faubel#aprilia#23#+ 0.190#6
simone corsi#aprilia#23#+ 0.405#5
esteve rabat#honda#23#+ 0.915#11
tomoyoshi koyama#ktm#23#+ 1.315#4
mattia pasini#aprilia#23#+ 1.316#1
gábor talmácsi#aprilia#23#+ 1.371#9
sergio gadea#aprilia#23#+ 1.457#7
sandro cortese#aprilia#23#+ 14.652#10
pol espargaró#aprilia#23#+ 21.745#17
randy krummenacher#ktm#23#+ 22.687#20
nicolás terol#derbi#23#+ 26.491#19
mike di meglio#honda#23#+ 26.563#12
stevie bonsey#ktm#23#+ 37.823#18
bradley smith#honda#23#+ 37.981#13
joey litjens#honda#23#+ 40.406#23
lorenzo zanetti#aprilia#23#+ 40.453#14
dominique aegerter#aprilia#23#+ 44.271#28
andrea iannone#aprilia#23#+ 44.831#22
simone grotzkyj#aprilia#23#+ 51.482#24
michael ranseder#derbi#23#+ 1:01.153#15
roberto tamburini#aprilia#23#+ 1:03.614#29
dino lombardi#honda#23#+ 1:18.524#27
ferruccio lamborghini#aprilia#23#+ 1:37.558#30
glenn scott#aprilia#22#+ 1 lap#31
stefan bradl#aprilia#19#retirement#26
pablo nieto#aprilia#17#retirement#16
alexis masbou#honda#15#accident#21
danny webb#honda#13#accident#25
raffaele de rosa#aprilia#5#retirement#2
