res#record#opponent#method#event#round#location
loss#9 - 8#kenny ento#submission (triangle choke)#palace fighting championship 4: project complete#1#lemoore , california , united states
loss#9 - 7#nathan james#decision (unanimous)#ifo : wiuff vs salmon#3#las vegas , nevada , united states
loss#9 - 6#brian foster#tko (punches)#ifl : chicago#1#chicago , illinois , united states
loss#9 - 5#vladimir matyushenko#tko (strikes)#ifl : los angeles#1#los angeles , california , united states
loss#9 - 4#reese andy#decision (unanimous)#ifl : oakland#3#oakland , california , united states
win#9 - 3#brian warren#technical submission (triangle choke)#bib : beatdown in bakersfield#1#bakersfield , california , united states
win#8 - 3#justin hawes#tko (strikes)#wec 24#1#lemoore , california , united states
loss#7 - 3#jorge santiago#ko (knee)#ufc ultimate fight night 5#1#las vegas , nevada , united states
loss#7 - 2#evan tanner#submission (triangle choke)#ufc 59#1#anaheim , california , united states
loss#7 - 1#scott smith#ko (punches)#wec 18#1#lemoore , california , united states
win#7 - 0#jorge oliveira#ko (slam)#wec 17#1#lemoore , california , united states
win#6 - 0#tony lopez#submission (rear - naked choke)#wec 15#1#lemoore , california , united states
win#5 - 0#tosh cook#submission (triangle choke)#gc 35: cold fury#1#porterville , california , united states
win#4 - 0#eber saulido#tko#tc 7: total combat 7#1#tijuana , mexico
win#3 - 0#mitch nester#tko#gc 33: brutal force#1#porterville , california , united states
win#2 - 0#jeff dowmam#ko (kick)#gc 28: gladiator challenge 28#1#porterville , california , united states
win#1 - 0#hector carrilo#tko#tc 3: total combat 3#1#tijuana , mexico
