rider#manufacturer#laps#time / retired#grid
mattia pasini#aprilia#22#38:58.171#1
héctor faubel#aprilia#22#+ 6.115#7
gábor talmácsi#aprilia#22#+ 6.146#6
sergio gadea#aprilia#22#+ 6.354#4
simone corsi#aprilia#22#+ 6.454#3
tomoyoshi koyama#ktm#22#+ 6.633#13
lukáš pešek#derbi#22#+ 6.643#2
sandro cortese#aprilia#22#+ 17.696#5
michael ranseder#derbi#22#+ 17.890#10
stefan bradl#aprilia#22#+ 21.780#9
pol espargaró#aprilia#22#+ 22.867#17
randy krummenacher#ktm#22#+ 22.938#25
esteve rabat#honda#22#+ 23.195#19
raffaele de rosa#aprilia#22#34.247s#8
lorenzo zanetti#aprilia#22#+ 36.991#14
alexis masbou#honda#22#+ 37.145#20
nicolás terol#derbi#22#+ 34.407#12
joan olivé#aprilia#22#+ 37.597#11
stefano bianco#aprilia#22#+ 40.237#18
andrea iannone#aprilia#22#+ 48.387#37
hugo van den berg#aprilia#22#+ 51.244#32
roberto tamburini#aprilia#22#+ 51.374#23
enrique jerez#honda#22#+ 51.923#26
federico sandi#aprilia#22#+ 55.947#29
simone grotzkyj#aprilia#22#+ 57.183#27
joey litjens#honda#22#+ 59.846#22
stevie bonsey#ktm#22#+ 1:18.458#24
dominique aegerter#aprilia#22#+ 1:19.653#28
philipp eitzinger#honda#22#+ 1:29.071#36
roy pouw#aprilia#21#+ 1 lap#31
patrick van de waarsenburg#honda#21#+ 1 lap#34
jasper iwema#honda#21#+ 1 lap#33
ferry stoffer#honda#21#+ 1 lap#35
pablo nieto#aprilia#19#retirement#15
robert mureşan#derbi#10#retirement#21
mike di meglio#honda#10#retirement#16
danny webb#honda#5#retirement#30
