year#network#lap - by - lap#pit reporters#host
1960#cbs sports spectacular#bud palmer#bud palmer#bud palmer
1962#abc 's wwos#jim mckay#chris economaki#jim mckay
1963#abc 's wwos#bill flemming#chris economaki#bill flemming
1964#abc 's wwos#bill flemming#chris economaki stirling moss#bill flemming
1965#abc 's wwos#bill flemming#bill flemming#bill flemming
1966#abc 's wwos#curt gowdy#chris economaki#curt gowdy
1967#abc 's wwos#jim mckay#chris economaki#jim mckay
1968#abc 's wwos#bill flemming#bill flemming#bill flemming
1969#abc 's wwos#bill flemming#bill flemming#bill flemming
1970#abc 's wwos#keith jackson#chris economaki#keith jackson
1971#abc 's wwos#keith jackson#chris economaki#keith jackson
1972#abc 's wwos#keith jackson#chris economaki#keith jackson
1973#abc 's wwos#jim mckay#chris economaki#jim mckay
1974#abc 's wwos#keith jackson#chris economaki#keith jackson
1975#abc 's wwos#bill flemming#bill flemming#bill flemming
1976#abc 's wwos#bill flemming#chris economaki#bill flemming
1977#abc 's wwos#jim mckay#chris economaki#jim mckay
1978#abc 's wwos#jim mckay#chris economaki#jim mckay
