rank#nation#gold#silver#bronze#total
1#united states (usa)#17#14#13#44
2#china (chn)#13#22#17#52
3#ukraine (ukr)#13#10#20#43
4#great britain (gbr)#11#12#18#41
5#russia (rus)#11#9#7#27
6#spain (esp)#10#12#9#31
7#australia (aus)#9#11#9#29
8#brazil (bra)#8#7#4#19
9#south africa (rsa)#8#0#1#9
10#canada (can)#7#7#9#23
11#mexico (mex)#5#1#2#8
12#greece (gre)#4#5#3#12
13#new zealand (nzl)#4#2#0#6
14#belarus (blr)#3#2#1#6
15#poland (pol)#2#5#3#10
16#france (fra)#2#4#0#6
17#netherlands (ned)#2#2#2#6
18#czech republic (cze)#2#1#4#7
19#sweden (swe)#2#0#1#3
20#germany (ger)#1#3#5#9
21#japan (jpn)#1#2#2#5
22#italy (ita)#1#2#0#3
23#singapore (sin)#1#1#0#2
24#hungary (hun)#1#0#4#5
25#cyprus (cyp)#1#0#1#2
25#denmark (den)#1#0#1#2
25#norway (nor)#1#0#1#2
28#israel (isr)#0#3#0#3
29#south korea (kor)#0#1#1#2
30#ireland (irl)#0#1#0#1
31#argentina (arg)#0#0#1#1
31#colombia (col)#0#0#1#1
31#estonia (est)#0#0#1#1
31#portugal (por)#0#0#1#1
total#total#141#139#142#422
