player#games played#minutes#field goals#three pointers#free throws#rebounds#assists#blocks#steals#points
heather ezell#35#1116#120#88#82#114#122#5#63#410
alison lacey#35#1082#130#55#77#163#131#11#39#392
nicky wieben#36#910#144#15#66#181#32#42#24#369
kelsey bolte#36#1002#122#57#39#165#53#9#26#340
amanda nisleit#36#948#102#40#73#193#37#10#18#317
ashley arlen#34#321#41#4#33#105#9#12#13#119
jocelyn anderson#36#328#31#0#28#59#17#22#1#90
whitney williams#36#388#25#15#10#27#35#6#4#75
alexis yackley#26#167#12#8#21#13#19#0#7#53
toccara ross#33#253#25#1#16#53#4#4#12#67
genesis lightbourne#11#68#7#0#7#21#2#0#1#21
anna florzak#11#40#5#4#0#6#1#0#0#14
denae stuckey#36#434#12#4#8#97#33#6#23#36
claire rockall#18#94#2#0#2#17#6#0#5#6
