athlete#sport#asian games#gold#silver#bronze#total
mohammad nassiri#weightlifting#1966 - 1974#4#1#0#5
moslem eskandar - filabi#wrestling#1966 - 1974#4#0#0#4
reza soukhteh - saraei#wrestling#1974 - 1990#3#1#0#4
houshang kargarnejad#weightlifting#1970 - 1974#3#0#1#4
alireza heidari#wrestling#1998 - 2006#3#0#0#3
jalal keshmiri#athletics#1966 - 1974#2#3#1#6
hassan arianfard#cycling#1970 - 1974#2#1#0#3
jasem vishgahi#karate#2002 - 2010#2#1#0#3
akbar shokrollahi#weightlifting#1974#2#1#0#3
ali vali#weightlifting#1974#2#1#0#3
teymour ghiasi#athletics#1966 - 1974#2#0#1#3
hossein rezazadeh#weightlifting#1998 - 2006#2#0#1#3
