driver#constructor#laps#time / retired#grid
michael schumacher#ferrari#54#1:17:40.646#1
jean alesi#benetton - renault#54#+ 2.565#8
giancarlo fisichella#jordan - peugeot#54#+ 3.219#6
heinz - harald frentzen#williams - renault#54#+ 3.768#4
johnny herbert#sauber - petronas#54#+ 4.716#13
shinji nakano#prost - mugen - honda#54#+ 36.701#19
david coulthard#mclaren - mercedes#54#+ 37.753#5
pedro diniz#arrows - yamaha#53#+ 1 lap#16
damon hill#arrows - yamaha#53#+ 1 lap#15
gianni morbidelli#sauber - petronas#53#+ 1 lap#18
olivier panis#prost - mugen - honda#51#accident#10
mika salo#tyrrell - ford#46#engine#17
jos verstappen#tyrrell - ford#42#gearbox#14
alexander wurz#benetton - renault#35#transmission#11
rubens barrichello#stewart - ford#33#gearbox#3
jarno trulli#minardi - hart#32#engine#20
ralf schumacher#jordan - peugeot#14#accident#7
ukyo katayama#minardi - hart#5#throttle#22
jacques villeneuve#williams - renault#1#accident#2
mika hã¤kkinen#mclaren - mercedes#0#collision#9
eddie irvine#ferrari#0#collision#12
jan magnussen#stewart - ford#0#accident#21
