draft#round#pick#player#college / high school / club
1995#1#6#bryant reeves#oklahoma state
1995#2#36#lawrence moten#syracuse
1996#1#3#shareef abdur - rahim#california
1996#1#22#roy rogers#alabama
1996#2#51#chris robinson#western kentucky
1997#1#4#antonio daniels#indian hills junior college
1997#2#53#c j bruton#bowling green
1998#1#2#mike bibby#arizona
1998#2#56#jr henderson#ucla
1999#1#2#steve francis#maryland
1999#2#37#obinna ekezie#maryland
1999#2#51#antwain smith#saint paul 's (va)
2000#1#2#stromile swift#lsu
2001#1#6#shane battier#duke
2001#1#27#jamaal tinsley#iowa state
2001#2#33#will solomon#clemson
2001#2#48#antonis fotsis#panathinaikos ( greece )
2002#1#4#drew gooden#kansas
2002#2#32#robert archibald#illinois
2002#2#45#matt barnes#ucla
2003#1#13#marcus banks#unlv
2003#1#27#kendrick perkins#clifton j ozen high school
2004#2#49#sergei lishouk#khimik yuzhny ( ukraine )
2005#1#19#hakim warrick#syracuse
2006#1#24#kyle lowry#villanova
2007#1#4#mike conley , jr#ohio state
2008#1#5#kevin love#ucla
2008#1#28#donte greene#syracuse
2009#1#2#hasheem thabeet#connecticut
2009#1#27#demarre carroll#missouri
2009#2#36#sam young#pittsburgh
2010#1#12#xavier henry#kansas
2010#1#25#dominique jones#south florida
2010#1#28#greivis vasquez#maryland
2011#2#49#josh selby#kansas
2012#1#25#tony wroten#washington
