season#winner#runner - up#third#winner men#winner women
1981 / 82#norway#czechoslovakia#sweden#norway#norway
1982 / 83#norway#soviet union#finland#norway#norway
1983 / 84#norway#soviet union#sweden#norway#norway
1984 / 85#norway#sweden#soviet union#norway#norway
1985 / 86#norway#sweden#soviet union#sweden#norway
1986 / 87#sweden#norway#soviet union#sweden#norway
1987 / 88#sweden#soviet union#norway#sweden#soviet union
1988 / 89#soviet union#sweden#norway#sweden#soviet union
1989 / 90#soviet union#norway#sweden#norway#soviet union
1990 / 91#soviet union#norway#sweden#norway#soviet union
1991 / 92#norway#russia#italy#norway#russia
1992 / 93#norway#russia#italy#norway#russia
1993 / 94#norway#russia#italy#norway#russia
1994 / 95#russia#norway#italy#norway#russia
1995 / 96#russia#norway#italy#norway#russia
1996 / 97#norway#russia#italy#norway#russia
1997 / 98#norway#russia#italy#norway#russia
1998 / 99#norway#russia#sweden#norway#russia
1999 / 00#norway#russia#italy#norway#russia
2000 / 01#norway#russia#italy#norway#russia
2001 / 02#norway#russia#italy#norway#norway
2002 / 03#norway#germany#sweden#sweden#norway
2003 / 04#norway#germany#italy#norway#norway
2004 / 05#norway#germany#russia#norway#norway
2005 / 06#norway#sweden#germany#norway#norway
2006 / 07#norway#germany#finland#norway#finland
2007 / 08#norway#finland#germany#norway#norway
2008 / 09#norway#finland#italy#norway#finland
2009 / 10#norway#russia#sweden#norway#norway
2010 / 11#norway#sweden#russia#norway#norway
2011 / 12#norway#russia#sweden#russia#norway
