name#height#position#year#home town
erlana larkins#6 - 1#forward#junior#riviera beach , fl
trinity bursey#5 - 10#forward#freshman#sanford , nc
alex miller#5 - 6#guard#junior#durham , nc
ivory latta#5 - 6#guard#senior#mcconnells , sc
heather claytor#5 - 8#guard#sophomore#grottoes , va
christina dewitt#6 - 2#forward#sophomore#little river , sc
camille little#6 - 2#forward / guard#senior#winston - salem , nc
iman mcfarland#6 - 3#forward#sophomore#temple hills , md
meghan austin#5 - 7#guard#junior#lynchburg , va
latoya pringle#6 - 3#forward / center#junior#fayetteville , nc
rashanda mccants#6 - 1#forward#sophomore#asheville , nc
martina wood#6 - 2#forward / center#sophomore#charlotte , nc
jessica breland#6 - 3#forward#freshman#kelford , nc
