exit date#pos#player#to club#transfer fee
1 july 2008#df#garry breen#hereford united#free
1 july 2008#df#michael daly#released#released
1 july 2008#gk#andrea giombetti#released#released
1 july 2008#mf#ashley grimes#millwall#free
1 july 2008#fw#christian mouritsen#released#released
30 july 2008#df#matthew mills#doncaster rovers#300000
16 oct 2008#fw#teerasil dangda#released#released
16 oct 2008#df#kiatprawut saiwaeo#released#released
16 oct 2008#df#suree sukha#released#released
02 jan 2009#df#sam williamson#wrexham#free
