res#record#opponent#method#event#round#time#location
loss#26 - 9#steven siler#ko (punches)#ufc fight night : shogun vs sonnen#1#0:50#boston , massachusetts , united states
win#26 - 8#daniel pineda#decision (unanimous)#ufc 146#3#5:00#las vegas , nevada , united states
win#25 - 8#nam phan#decision (unanimous)#ufc 133#3#5:00#philadelphia , pennsylvania , united states
loss#24 - 8#rani yahya#decision (unanimous)#ufc : fight for the troops 2#3#5:00#fort hood , texas , united states
loss#24 - 7#diego nunes#decision (split)#ufc 125#3#5:00#las vegas , nevada , united states
win#24 - 6#cole province#tko (punches)#wec 51#1#1:18#broomfield , colorado , united states
loss#23 - 6#manny gamburyan#ko (punches)#wec 48#1#2:22#sacramento , california , united states
win#23 - 5#anthony morrison#submission (rear naked choke)#wec 46#1#1:54#sacramento , california , united states
loss#22 - 5#josé aldo#tko (punches)#wec 44#2#1:20#las vegas , nevada , united states
win#22 - 4#urijah faber#decision (unanimous)#wec 41#5#5:00#sacramento , california , united states
win#21 - 4#leonard garcia#submission (arm - triangle choke)#wec 39#1#1:57#corpus christi , texas , united states
win#20 - 4#urijah faber#tko (punches)#wec 36#1#2:23#hollywood , florida , united states
win#19 - 4#jeff curran#decision (unanimous)#wec 34#3#5:00#sacramento , california , united states
win#18 - 4#manny reyes jr#submission (rear naked choke)#pxf - premier x - treme fighting#1#1:46#hollywood , florida , united states
win#17 - 4#eben oroz#tko (punches)#hooknshoot - bodog fight#1#3:15#evansville , indiana , united states
win#16 - 4#yves edwards#decision (unanimous)#bodog fight - clash of the nations#3#5:00#saint petersburg , russia
win#15 - 4#jason bryant#tko (punches)#afc 19 - absolute fighting championships 19#1#1:26#boca raton , florida , united states
win#14 - 4#rocky long#submission (rear - naked choke)#ke - kick enterprises#2#1:32#fort myers , florida , united states
win#13 - 4#dustin neace#submission (guillotine choke)#afc 18 - absolute fighting championships 18#1#0:50#boca raton , florida , united states
loss#12 - 4#masakazu imanari#technical submission (rolling kneelock)#deep - 22 impact#2#3:38#tokyo , japan
win#12 - 3#takeshi yamazaki#decision (unanimous)#deep - 21st impact#3#5:00#tokyo , japan
win#11 - 3#taiyo nakahara#submission (arm triangle choke)#gcm - dog 2#2#n / a#tokyo , japan
win#10 - 3#renato tavares#decision (unanimous)#afc 10 - absolute fighting championships 10#3#5:00#ft lauderdale , florida , united states
loss#9 - 3#joe lauzon#submission (rear naked choke)#cz 8 - street justice#3#2:14#revere , massachusetts , united states
loss#9 - 2#genki sudo#submission (triangle / armbar)#ufc 47#1#3:31#las vegas , nevada , united states
win#9 - 1#leigh remedios#decision (unanimous)#afc 6 - absolute fighting championships 6#3#5:00#ft lauderdale , florida , united states
win#8 - 1#renat mirzabekov#submission (heel hook)#hfc 2 - hardcore fighting championships 2#1#2:38#revere , massachusetts , united states
win#7 - 1#mark hominick#submission (heel hook)#tfc 8 - hell raiser#3#n / a#toledo , ohio , united states
win#6 - 1#shawn graham#tko (punches)#hfc 1 - hardcore fighting championships 1#2#1:05#revere , massachusetts , united states
win#5 - 1#mike large#submission (rear naked choke)#tfc 7 - fightzone 7#1#n / a#toledo , ohio , united states
win#4 - 1#bill mahoney#submission (rear naked choke)#md 10 - mass destruction 10#3#n / a#swansea , massachusetts , united states
win#3 - 1#edward odquina#submission (rear naked choke)#usmma 1 - ring of fury#1#n / a#lowell , massachusetts , united states
loss#2 - 1#hermes frança#submission (triangle choke)#hooknshoot - kings 1#1#2:21#evansville , indiana , united states
win#2 - 0#vinny brightman#submission (rear naked choke)#md 3 - mass destruction 3#1#3:30#swansea , massachusetts , united states
win#1 - 0#jeff darienzo#submission (keylock)#md 1 - mass destruction 1#n / a#n / a#swansea , massachusetts , united states
